None,closeask,openask,highask,lowask
0,0.95569,0.96111,0.96111,0.95504
1,0.95758,0.95569,0.95833,0.95562
2,0.95489,0.95758,0.95785,0.95477
3,0.95594,0.95489,0.95611,0.95424
4,0.95603,0.95594,0.9569,0.95555
5,0.95544,0.95603,0.95605,0.95532
6,0.95539,0.95544,0.956,0.9552
7,0.95516,0.95539,0.95619,0.95491
8,0.95361,0.95516,0.95555,0.9536
9,0.9527,0.95361,0.95368,0.95217
10,0.95226,0.9527,0.95271,0.94971
11,0.95127,0.95226,0.95251,0.9509
12,0.9505,0.95127,0.95147,0.94959
13,0.95005,0.9505,0.95058,0.95
14,0.95083,0.95005,0.95097,0.94979
15,0.95074,0.95083,0.95156,0.95058
16,0.94854,0.95074,0.9508,0.94854
17,0.9381,0.94854,0.94932,0.92885
18,0.94289,0.9381,0.9443,0.93365
19,0.9446,0.94289,0.94529,0.94289
20,0.94486,0.9446,0.94583,0.94288
21,0.94622,0.94486,0.94635,0.94431
22,0.94539,0.94622,0.94676,0.94508
23,0.94667,0.94539,0.94735,0.94523
24,0.94705,0.94667,0.94711,0.94558
25,0.94633,0.94705,0.94711,0.94561
26,0.94799,0.94633,0.94875,0.94592
27,0.94859,0.94799,0.9495,0.94758
28,0.9482,0.94859,0.94901,0.94769
29,0.94872,0.9482,0.94879,0.94738
30,0.94685,0.94872,0.94929,0.94674
31,0.94606,0.94685,0.94745,0.9458
32,0.9459,0.94606,0.94654,0.94362
33,0.9448,0.9459,0.94591,0.94433
34,0.94509,0.9448,0.9464,0.94401
35,0.9458,0.94509,0.94651,0.9438
36,0.94528,0.9458,0.9463,0.94483
37,0.9447,0.94528,0.94572,0.94462
38,0.94364,0.9447,0.94509,0.94364
39,0.94406,0.94364,0.94455,0.94347
40,0.9449,0.94406,0.94495,0.94392
41,0.94435,0.9449,0.9457,0.94422
42,0.94445,0.94435,0.94535,0.9441
43,0.9438,0.94445,0.94478,0.94325
44,0.9459,0.9438,0.9461,0.94314
45,0.94701,0.9459,0.94711,0.94571
46,0.94789,0.94701,0.94821,0.94698
47,0.94713,0.94789,0.94793,0.94666
48,0.94678,0.94713,0.94739,0.94652
49,0.94607,0.94678,0.94687,0.94576
50,0.94459,0.94607,0.94632,0.94442
51,0.94455,0.94459,0.94563,0.944
52,0.94763,0.94455,0.94764,0.94448
53,0.94752,0.94763,0.94823,0.94697
54,0.94702,0.94752,0.94797,0.94697
55,0.94665,0.94702,0.94724,0.94617
56,0.9461,0.94665,0.94815,0.94551
57,0.94651,0.9461,0.94675,0.94525
58,0.95132,0.94651,0.95133,0.94613
59,0.95239,0.95132,0.95308,0.95012
60,0.95275,0.95239,0.95378,0.95212
61,0.95361,0.95275,0.95396,0.9524
62,0.95318,0.95361,0.95427,0.95306
63,0.95331,0.95318,0.95379,0.95308
64,0.95228,0.95331,0.95365,0.95217
65,0.95301,0.95261,0.95388,0.9516
66,0.95241,0.95301,0.95335,0.95187
67,0.95187,0.95241,0.95295,0.95179
68,0.95304,0.95187,0.95318,0.95179
69,0.95232,0.95304,0.95341,0.95218
70,0.95318,0.95232,0.95358,0.95184
71,0.95268,0.95318,0.95345,0.95262
72,0.95253,0.95268,0.95306,0.95245
73,0.95285,0.95253,0.95305,0.95198
74,0.95287,0.95285,0.9532,0.95179
75,0.95345,0.95287,0.95358,0.95267
76,0.9526,0.95345,0.95397,0.95255
77,0.95235,0.9526,0.95277,0.95193
78,0.9519,0.95235,0.95285,0.95187
79,0.95258,0.9519,0.9531,0.95184
80,0.95256,0.95258,0.95315,0.95217
81,0.95176,0.95256,0.95305,0.95154
82,0.95029,0.95176,0.95209,0.94883
83,0.94954,0.95029,0.9503,0.94816
84,0.95001,0.94954,0.95063,0.94954
85,0.9495,0.95001,0.95001,0.949
86,0.94963,0.9495,0.95042,0.94917
87,0.94999,0.94963,0.95047,0.94946
88,0.9507,0.94999,0.95085,0.94976
89,0.94981,0.9507,0.9509,0.94981
90,0.95006,0.94981,0.95025,0.94951
91,0.94941,0.95006,0.9502,0.94887
92,0.94875,0.94941,0.94964,0.94863
93,0.94857,0.94875,0.94985,0.9483
94,0.9471,0.94857,0.94889,0.94629
95,0.94652,0.9471,0.94723,0.94628
96,0.94622,0.94652,0.947,0.94615
97,0.94591,0.94622,0.94649,0.94574
98,0.946,0.94591,0.94681,0.94551
99,0.9472,0.946,0.94729,0.946
100,0.94642,0.9472,0.94754,0.94632
101,0.94626,0.94642,0.94664,0.94587
102,0.94774,0.94626,0.94774,0.94598
103,0.94855,0.94774,0.94899,0.9477
104,0.94847,0.94855,0.94905,0.94805
105,0.94843,0.94847,0.94975,0.94807
106,0.94726,0.94843,0.94875,0.94642
107,0.9493,0.94726,0.94975,0.94697
108,0.95,0.9493,0.95015,0.94864
109,0.94859,0.95,0.95027,0.94859
110,0.94832,0.94859,0.94873,0.94794
111,0.94784,0.94832,0.94841,0.94755
112,0.94781,0.94784,0.94853,0.94757
113,0.94759,0.94781,0.94896,0.94721
114,0.94908,0.94759,0.95035,0.94725
115,0.94722,0.94908,0.94964,0.94673
116,0.94776,0.94722,0.9485,0.94681
117,0.94743,0.94776,0.94829,0.94684
118,0.94748,0.94743,0.94786,0.947
119,0.94637,0.94748,0.94749,0.9461
120,0.94663,0.94637,0.94711,0.9461
121,0.94592,0.94663,0.9467,0.94587
122,0.94675,0.94592,0.94701,0.94583
123,0.94732,0.94675,0.948,0.94671
124,0.94763,0.94732,0.94848,0.94719
125,0.94819,0.94763,0.94863,0.94721
126,0.94895,0.94819,0.94935,0.948
127,0.94852,0.94895,0.94905,0.9479
128,0.94967,0.94852,0.94968,0.94829
129,0.94996,0.94967,0.95072,0.94873
130,0.94873,0.94996,0.9515,0.9472
131,0.9476,0.94873,0.94897,0.94703
132,0.94845,0.9476,0.94865,0.9476
133,0.94891,0.94845,0.94945,0.9478
134,0.94932,0.94891,0.9496,0.94818
135,0.94906,0.94932,0.94961,0.94836
136,0.94728,0.94906,0.9491,0.94726
137,0.94765,0.94728,0.9479,0.94709
138,0.94803,0.94765,0.94811,0.94704
139,0.94811,0.94803,0.94859,0.9475
140,0.94775,0.94811,0.9483,0.94617
141,0.94806,0.94775,0.94833,0.94713
142,0.95035,0.94806,0.9505,0.94805
143,0.95044,0.95035,0.9507,0.9499
144,0.95119,0.95044,0.95125,0.95012
145,0.95096,0.95119,0.95134,0.9506
146,0.9497,0.95096,0.95153,0.94967
147,0.9503,0.9497,0.9509,0.94966
148,0.95026,0.9503,0.951,0.94972
149,0.9497,0.95026,0.95039,0.94909
150,0.95015,0.9497,0.9502,0.94937
151,0.95037,0.95015,0.95065,0.9497
152,0.95088,0.95037,0.9515,0.95016
153,0.95122,0.95088,0.95149,0.95039
154,0.95133,0.95122,0.95205,0.95046
155,0.95137,0.95133,0.95212,0.95101
156,0.95105,0.95137,0.95168,0.95056
157,0.95047,0.95105,0.95139,0.94999
158,0.95017,0.95047,0.95114,0.95007
159,0.95084,0.95017,0.95117,0.95002
160,0.95133,0.95084,0.95165,0.95067
161,0.95101,0.95133,0.95172,0.95087
162,0.95155,0.95101,0.9516,0.9509
163,0.95175,0.95155,0.95294,0.95124
164,0.95108,0.95175,0.95211,0.95067
165,0.95102,0.95108,0.95126,0.95059
