None,closeask,openask,highask,lowask
0,0.72182,0.7211,0.723,0.7211
1,0.72106,0.72182,0.72189,0.72057
2,0.72289,0.72106,0.72325,0.72101
3,0.72057,0.72289,0.72307,0.72056
4,0.72197,0.72057,0.72235,0.71991
5,0.72215,0.72197,0.7223,0.72145
6,0.72225,0.72215,0.72283,0.7218
7,0.72292,0.72225,0.72365,0.72224
8,0.72415,0.72292,0.72418,0.72234
9,0.72562,0.72415,0.72586,0.72412
10,0.72648,0.72562,0.72854,0.72522
11,0.72727,0.72648,0.72825,0.72644
12,0.72917,0.72727,0.72956,0.72706
13,0.73001,0.72917,0.73001,0.7289
14,0.72896,0.73001,0.73021,0.72886
15,0.72915,0.72896,0.72927,0.72831
16,0.72925,0.72915,0.72943,0.72848
17,0.7254,0.72925,0.72982,0.7254
18,0.72582,0.7254,0.7259,0.72303
19,0.72496,0.72582,0.72609,0.72456
20,0.7251,0.72496,0.7252,0.72381
21,0.72415,0.7251,0.72512,0.72411
22,0.72392,0.72415,0.72433,0.72379
23,0.72346,0.72392,0.72395,0.72346
24,0.72313,0.72346,0.72353,0.7226
25,0.7228,0.72313,0.7235,0.72247
26,0.72476,0.7228,0.72505,0.72264
27,0.72416,0.72476,0.72605,0.72399
28,0.72443,0.72416,0.72525,0.72414
29,0.72592,0.72443,0.72617,0.72427
30,0.72691,0.72592,0.72691,0.72543
31,0.7285,0.72691,0.72855,0.72661
32,0.73025,0.7285,0.73048,0.72793
33,0.73159,0.73025,0.73226,0.7301
34,0.73248,0.73159,0.73269,0.72761
35,0.73351,0.73248,0.73477,0.73185
36,0.73393,0.73351,0.73447,0.73299
37,0.73392,0.73393,0.73404,0.73254
38,0.73354,0.73392,0.7343,0.73334
39,0.73279,0.73354,0.73366,0.73254
40,0.73171,0.73279,0.7329,0.73164
41,0.73232,0.73171,0.73232,0.73121
42,0.73252,0.73232,0.73278,0.73193
43,0.73127,0.73252,0.73258,0.73123
44,0.73169,0.73127,0.73198,0.73058
