None,closeask,openask,highask,lowask
0,80.376,80.397,80.48,80.286
1,80.309,80.376,80.41,80.23
2,80.521,80.309,80.587,80.277
3,80.004,80.521,80.54,79.959
4,79.958,80.004,80.011,79.786
5,80.006,79.958,80.064,79.889
6,80.05,80.006,80.118,79.977
7,80.047,80.05,80.199,80.017
8,80.002,80.047,80.062,79.663
9,80.258,80.002,80.275,79.998
10,80.33,80.258,80.576,80.197
11,80.367,80.33,80.511,80.312
12,80.595,80.367,80.638,80.355
13,80.571,80.595,80.632,80.494
14,80.38,80.571,80.571,80.358
15,80.329,80.38,80.39,80.243
16,80.208,80.329,80.368,80.127
17,78.4,80.208,80.236,77.573
18,78.821,78.4,79.066,78.188
19,78.975,78.821,79.172,78.817
20,78.962,78.975,79.103,78.827
21,78.59,78.962,78.962,78.571
22,78.605,78.59,78.652,78.508
23,78.594,78.605,78.684,78.569
24,78.431,78.594,78.606,78.242
25,78.403,78.431,78.458,78.34
26,78.991,78.403,79.068,78.402
27,79.062,78.991,79.294,78.871
28,79.063,79.062,79.231,79.061
29,79.064,79.063,79.118,78.945
30,79.003,79.064,79.075,78.957
31,79.269,79.003,79.302,78.976
32,79.602,79.269,79.7,79.209
33,79.706,79.602,79.838,79.592
34,79.618,79.706,79.85,79.142
35,80.177,79.618,80.349,79.546
36,80.19,80.177,80.229,79.968
37,80.021,80.19,80.197,79.889
38,79.948,80.021,80.081,79.927
39,79.763,79.948,79.963,79.641
40,79.846,79.763,79.889,79.732
41,79.889,79.846,79.895,79.777
42,80.017,79.889,80.12,79.849
43,79.731,80.017,80.08,79.724
44,80.005,79.731,80.097,79.72
45,80.174,80.005,80.247,79.978
46,80.346,80.174,80.411,80.161
47,80.345,80.346,80.417,80.325
48,80.272,80.345,80.379,80.242
49,80.298,80.272,80.306,80.144
50,80.197,80.298,80.396,80.137
51,80.414,80.197,80.424,80.166
52,80.349,80.414,80.433,80.265
53,80.253,80.349,80.371,80.221
54,80.324,80.253,80.345,80.252
55,80.398,80.324,80.44,80.303
56,80.631,80.398,80.713,80.343
57,80.678,80.631,80.831,80.566
58,80.755,80.678,80.958,80.491
59,80.815,80.755,80.9,80.643
60,80.94,80.815,81.033,80.75
61,80.943,80.94,81.106,80.901
62,81.02,80.943,81.035,80.92
63,80.962,81.02,81.025,80.917
64,81.172,80.962,81.199,80.947
65,81.046,81.174,81.18,81.015
66,81.198,81.046,81.225,81.005
67,81.091,81.198,81.23,81.09
68,81.078,81.091,81.211,81.036
69,81.011,81.078,81.093,81.008
70,80.958,81.011,81.036,80.886
71,81.084,80.958,81.085,80.87
72,81.002,81.084,81.096,80.97
73,81.011,81.002,81.056,80.974
74,81.036,81.011,81.068,80.907
75,80.985,81.036,81.066,80.944
76,80.975,80.985,81.025,80.911
77,81.084,80.975,81.095,80.941
78,81.115,81.084,81.119,81.048
79,81.086,81.115,81.141,81.046
80,81.165,81.086,81.198,81.052
81,81.208,81.165,81.226,81.017
82,81.446,81.208,81.567,81.13
83,81.722,81.446,81.739,81.437
84,81.709,81.722,81.761,81.596
85,81.672,81.709,81.839,81.642
86,81.688,81.672,81.738,81.605
87,81.76,81.688,81.8,81.684
88,81.759,81.76,81.783,81.711
89,81.73,81.759,81.792,81.707
90,81.697,81.73,81.76,81.673
91,81.802,81.697,81.834,81.697
92,81.632,81.802,81.827,81.581
93,81.865,81.632,81.876,81.612
94,81.949,81.865,81.992,81.805
95,82.068,81.949,82.075,81.947
96,81.91,82.068,82.098,81.907
97,82.031,81.91,82.053,81.881
98,82.036,82.031,82.13,81.982
99,82.034,82.036,82.039,81.957
100,82.021,82.034,82.072,81.989
101,81.866,82.021,82.038,81.845
102,81.884,81.866,81.955,81.813
103,81.839,81.884,81.893,81.752
104,81.833,81.839,81.891,81.765
