None,closeask,openask,highask,lowask
0,111.382,111.523,111.523,111.312
1,111.403,111.382,111.45,111.339
2,111.418,111.403,111.468,111.345
3,111.053,111.418,111.426,110.887
4,110.778,111.053,111.058,110.736
5,110.817,110.778,110.913,110.725
6,110.861,110.817,110.877,110.787
7,110.757,110.861,110.953,110.744
8,110.505,110.757,110.785,110.304
9,110.629,110.505,110.673,110.463
10,110.599,110.629,110.693,110.565
11,110.533,110.599,110.669,110.511
12,110.557,110.533,110.599,110.487
13,110.397,110.557,110.568,110.374
14,110.295,110.397,110.398,110.255
15,110.194,110.295,110.302,110.125
16,110.024,110.194,110.22,109.977
17,108.084,110.024,110.028,106.326
18,108.608,108.084,109.29,107.908
19,108.951,108.608,109.07,108.606
20,108.909,108.951,109.105,108.858
21,108.537,108.909,108.909,108.435
22,108.592,108.537,108.64,108.442
23,108.647,108.592,108.744,108.565
24,108.47,108.647,108.674,108.271
25,108.479,108.47,108.54,108.351
26,108.997,108.479,109.076,108.475
27,109.184,108.997,109.377,108.899
28,109.142,109.184,109.325,109.141
29,108.922,109.142,109.165,108.849
30,108.69,108.922,108.976,108.653
31,108.816,108.69,108.945,108.666
32,109.009,108.816,109.136,108.803
33,108.977,109.009,109.118,108.913
34,108.702,108.977,109.23,108.628
35,109.311,108.702,109.463,108.66
36,109.264,109.311,109.316,109.075
37,109.036,109.264,109.267,109.021
38,108.995,109.036,109.085,108.98
39,108.853,108.995,109.015,108.705
40,109.13,108.853,109.16,108.848
41,109.114,109.13,109.215,109.079
42,109.242,109.114,109.384,109.085
43,109.037,109.242,109.32,108.997
44,109.346,109.037,109.46,109.037
45,109.579,109.346,109.667,109.298
46,109.757,109.579,109.841,109.573
47,109.698,109.757,109.845,109.681
48,109.662,109.698,109.739,109.615
49,109.649,109.662,109.689,109.502
50,109.318,109.649,109.707,109.265
51,109.571,109.318,109.573,109.303
52,109.459,109.571,109.617,109.431
53,109.321,109.459,109.466,109.264
54,109.398,109.321,109.466,109.321
55,109.426,109.398,109.511,109.378
56,109.49,109.426,109.623,109.391
57,109.575,109.49,109.716,109.442
58,109.68,109.575,109.83,109.291
59,109.829,109.68,109.905,109.63
60,109.993,109.829,110.09,109.828
61,109.946,109.993,110.081,109.941
62,110.016,109.946,110.069,109.928
63,109.96,110.016,110.017,109.9
64,110.036,109.96,110.083,109.92
65,109.922,110.047,110.187,109.882
66,110.116,109.922,110.148,109.827
67,110.112,110.116,110.193,110.031
68,110.089,110.112,110.151,110.036
69,109.951,110.089,110.104,109.951
70,109.868,109.951,109.981,109.814
71,110.001,109.868,110.007,109.788
72,109.917,110.001,110.032,109.868
