None,closeask,openask,highask,lowask
0,1.56117,1.56191,1.56191,1.5587
1,1.56282,1.56117,1.5636,1.56085
2,1.55818,1.56282,1.56295,1.5576
3,1.5593,1.55818,1.55945,1.55649
4,1.55813,1.5593,1.56042,1.55675
5,1.55907,1.55813,1.55968,1.55729
6,1.55869,1.55907,1.55998,1.55743
7,1.55523,1.55869,1.5587,1.55445
8,1.55226,1.55523,1.55605,1.55205
9,1.54793,1.55226,1.55235,1.54766
10,1.54481,1.54793,1.54838,1.54106
11,1.54357,1.54481,1.54551,1.54175
12,1.53951,1.54357,1.54381,1.53838
13,1.53904,1.53951,1.54014,1.53844
14,1.54128,1.53904,1.54144,1.5387
15,1.54093,1.54128,1.54274,1.54075
16,1.54042,1.54093,1.54247,1.54022
17,1.54868,1.54042,1.55165,1.54042
18,1.54214,1.54868,1.54968,1.54154
19,1.54585,1.54214,1.5465,1.54173
20,1.54577,1.54585,1.5474,1.54553
21,1.5486,1.54577,1.54875,1.54567
22,1.54954,1.5486,1.55035,1.54812
23,1.55001,1.54954,1.5502,1.54923
24,1.54972,1.55001,1.55079,1.54941
25,1.55005,1.54972,1.55033,1.54851
26,1.5482,1.55005,1.55028,1.54729
27,1.54959,1.5482,1.54988,1.5458
28,1.54916,1.54959,1.54988,1.54804
29,1.54786,1.54916,1.54963,1.5471
30,1.54417,1.54786,1.54882,1.54412
31,1.54074,1.54417,1.54458,1.54066
32,1.53854,1.54074,1.54184,1.53652
33,1.53665,1.53854,1.53878,1.53538
34,1.53898,1.53665,1.54391,1.53665
35,1.53688,1.53898,1.53959,1.53439
36,1.53569,1.53688,1.5378,1.53505
37,1.53655,1.53569,1.53824,1.53535
38,1.5352,1.53655,1.53708,1.53451
39,1.53667,1.5352,1.53732,1.53509
40,1.53669,1.53667,1.53679,1.53581
41,1.53622,1.53669,1.53892,1.53622
42,1.53542,1.53622,1.53642,1.53517
43,1.5382,1.53542,1.53835,1.53531
44,1.53735,1.5382,1.53906,1.53705
45,1.53707,1.53735,1.53777,1.53667
46,1.53693,1.53707,1.53742,1.53624
47,1.53645,1.53693,1.53699,1.53594
48,1.53619,1.53645,1.53678,1.53613
49,1.53522,1.53619,1.53629,1.53444
50,1.5343,1.53522,1.53527,1.53386
51,1.5328,1.5343,1.53536,1.53237
52,1.53335,1.5328,1.53451,1.53247
53,1.53435,1.53335,1.53504,1.5325
54,1.53432,1.53435,1.53561,1.5338
55,1.53234,1.53432,1.53446,1.53209
56,1.52743,1.53234,1.53334,1.52608
57,1.52666,1.52743,1.52855,1.5242
58,1.52771,1.52666,1.52883,1.52492
59,1.52886,1.52771,1.53126,1.52634
60,1.52833,1.52886,1.53015,1.52736
61,1.52777,1.52833,1.52837,1.52708
62,1.52697,1.52777,1.52785,1.52643
63,1.52768,1.52697,1.52817,1.52672
64,1.5248,1.52768,1.52787,1.52424
65,1.52716,1.52552,1.52765,1.52536
66,1.52555,1.52716,1.52784,1.52534
67,1.52638,1.52555,1.52672,1.52476
68,1.52669,1.52638,1.52684,1.52542
69,1.52589,1.52669,1.52669,1.52565
70,1.52588,1.52589,1.52637,1.52556
71,1.52548,1.52588,1.52686,1.52547
72,1.52591,1.52548,1.52605,1.52541
73,1.5251,1.52591,1.52637,1.52487
74,1.52692,1.5251,1.52716,1.52428
75,1.52735,1.52692,1.52763,1.52602
76,1.52888,1.52735,1.52988,1.52704
77,1.52869,1.52888,1.52927,1.52767
78,1.52838,1.52869,1.52922,1.52821
79,1.52738,1.52838,1.52916,1.52702
80,1.52972,1.52738,1.53011,1.52734
81,1.53004,1.52972,1.5323,1.52902
82,1.52634,1.53004,1.53052,1.52463
83,1.52434,1.52634,1.52683,1.52366
84,1.5245,1.52434,1.526,1.5237
85,1.52535,1.5245,1.52576,1.52324
86,1.5262,1.52535,1.52703,1.52515
87,1.52601,1.5262,1.52657,1.52538
88,1.52608,1.52601,1.52637,1.52545
89,1.52597,1.52608,1.5266,1.52535
90,1.52641,1.52597,1.52649,1.52559
91,1.52449,1.52641,1.52644,1.52437
92,1.5226,1.52449,1.52453,1.52237
93,1.52064,1.5226,1.52271,1.52052
94,1.51986,1.52064,1.52137,1.51811
95,1.51914,1.51986,1.51995,1.51839
96,1.51997,1.51914,1.52,1.51892
97,1.5194,1.51997,1.52042,1.51914
98,1.52036,1.5194,1.52053,1.51816
99,1.52012,1.52036,1.52129,1.51959
100,1.52022,1.52012,1.52081,1.51973
101,1.52012,1.52022,1.52022,1.51838
102,1.52247,1.52012,1.52306,1.51963
103,1.5218,1.52247,1.52294,1.52142
104,1.52048,1.5218,1.52224,1.51956
105,1.51982,1.52048,1.52083,1.51952
106,1.52046,1.51982,1.52164,1.51857
107,1.52294,1.52046,1.52491,1.51997
108,1.52313,1.52294,1.5239,1.52156
109,1.52034,1.52313,1.52379,1.5203
110,1.51981,1.52034,1.52078,1.51897
111,1.51889,1.51981,1.51982,1.51845
112,1.51873,1.51889,1.51944,1.51855
113,1.51888,1.51873,1.51979,1.51861
114,1.5176,1.51888,1.51911,1.51731
115,1.51833,1.5176,1.51885,1.5175
116,1.51684,1.51833,1.51849,1.51675
117,1.51591,1.51684,1.51698,1.51501
118,1.51533,1.51591,1.51609,1.5153
119,1.51607,1.51533,1.51607,1.51514
120,1.51637,1.51607,1.51658,1.5155
121,1.51627,1.51637,1.51666,1.51566
