None,closeask,openask,highask,lowask
0,1.12683,1.12627,1.12701,1.12627
1,1.12678,1.12683,1.12697,1.12618
2,1.12636,1.12678,1.12715,1.12634
3,1.12355,1.12636,1.12647,1.12347
4,1.12484,1.12355,1.12485,1.12266
5,1.1258,1.12484,1.12582,1.12426
6,1.12567,1.1258,1.12626,1.12544
7,1.12429,1.12567,1.12584,1.12419
8,1.124,1.12429,1.12435,1.12313
9,1.12319,1.124,1.12465,1.12301
10,1.12223,1.12319,1.12378,1.1221
11,1.12256,1.12223,1.12317,1.12223
12,1.12254,1.12256,1.12281,1.12178
13,1.12344,1.12254,1.12364,1.12197
14,1.1235,1.12344,1.12431,1.12337
15,1.12351,1.1235,1.12383,1.12333
16,1.12346,1.12351,1.12372,1.12302
17,1.12384,1.12346,1.12487,1.12016
18,1.11914,1.12384,1.1246,1.11847
19,1.12058,1.11914,1.12138,1.11892
20,1.12068,1.12058,1.12094,1.11975
21,1.1213,1.12068,1.12197,1.12062
22,1.12162,1.1213,1.12227,1.12103
23,1.12127,1.12162,1.12162,1.12124
24,1.12052,1.12127,1.12139,1.12005
25,1.12028,1.12052,1.12068,1.11948
26,1.12202,1.12028,1.12212,1.12002
27,1.12209,1.12202,1.12321,1.12153
28,1.12218,1.12209,1.12321,1.1218
29,1.12358,1.12218,1.12386,1.12188
30,1.12238,1.12358,1.12367,1.12184
31,1.12242,1.12238,1.12289,1.12214
32,1.12346,1.12242,1.1235,1.12164
33,1.12406,1.12346,1.12483,1.12335
34,1.12723,1.12406,1.12741,1.12313
35,1.12724,1.12723,1.12768,1.12659
36,1.12705,1.12724,1.12758,1.12656
37,1.12766,1.12705,1.12772,1.12654
38,1.12605,1.12766,1.12788,1.12605
39,1.12601,1.12605,1.12671,1.12601
40,1.12444,1.12601,1.12605,1.12416
41,1.12465,1.12444,1.12544,1.12391
42,1.12467,1.12465,1.12514,1.12437
43,1.1248,1.12467,1.12516,1.12458
44,1.12481,1.1248,1.1251,1.12414
45,1.12467,1.12481,1.1254,1.12461
46,1.1251,1.12467,1.12534,1.12437
47,1.12537,1.1251,1.12562,1.12484
48,1.12448,1.12537,1.1254,1.12442
49,1.12427,1.12448,1.1245,1.12396
50,1.12556,1.12427,1.12584,1.12397
51,1.12496,1.12556,1.12579,1.12466
52,1.12568,1.12496,1.12582,1.12452
53,1.12636,1.12568,1.12699,1.1255
54,1.12655,1.12636,1.12673,1.12596
55,1.12583,1.12655,1.12676,1.12565
56,1.12489,1.12583,1.12683,1.12476
57,1.12403,1.12489,1.12531,1.12359
58,1.12486,1.12403,1.12604,1.12313
59,1.12498,1.12486,1.12569,1.12464
60,1.12466,1.12498,1.12502,1.12386
61,1.12478,1.12466,1.12538,1.12446
62,1.12456,1.12478,1.12479,1.12393
63,1.12479,1.12456,1.12505,1.12447
64,1.12499,1.12479,1.12501,1.12433
65,1.12504,1.12377,1.12565,1.12377
66,1.12493,1.12504,1.12681,1.12488
67,1.12409,1.12493,1.12495,1.12409
68,1.12437,1.12409,1.12475,1.12399
69,1.1243,1.12437,1.12441,1.12418
70,1.12438,1.1243,1.12445,1.12397
71,1.1245,1.12438,1.12502,1.12431
72,1.12451,1.1245,1.1247,1.12416
73,1.12396,1.12451,1.12472,1.1238
74,1.12539,1.12396,1.12547,1.12349
75,1.12502,1.12539,1.12551,1.1241
76,1.12409,1.12502,1.12522,1.12401
