None,closeask,openask,highask,lowask
0,0.8998,0.89849,0.89985,0.89849
1,0.90046,0.8998,0.90052,0.89972
2,0.90004,0.90046,0.90073,0.89988
3,0.90068,0.90004,0.90139,0.8988
4,0.90112,0.90068,0.90118,0.89947
5,0.90245,0.90112,0.9028,0.90012
6,0.90288,0.90245,0.90317,0.90206
7,0.90151,0.90288,0.90293,0.90138
8,0.90188,0.90151,0.90244,0.90114
9,0.90121,0.90188,0.90237,0.90115
10,0.90108,0.90121,0.90135,0.89981
11,0.90147,0.90108,0.90244,0.90019
12,0.90061,0.90147,0.90174,0.89999
13,0.89964,0.90061,0.90062,0.89937
14,0.89949,0.89964,0.90046,0.89947
15,0.89966,0.89949,0.89986,0.89923
16,0.89997,0.89966,0.90059,0.89935
17,0.91036,0.89997,0.91412,0.89985
18,0.90393,0.91036,0.91047,0.9038
19,0.90375,0.90393,0.90448,0.90335
20,0.90448,0.90375,0.90515,0.90366
21,0.90533,0.90448,0.90562,0.90434
22,0.90562,0.90533,0.90595,0.90528
23,0.90589,0.90562,0.90599,0.90545
24,0.90558,0.90589,0.90606,0.9051
25,0.90593,0.90558,0.90598,0.90521
26,0.9058,0.90593,0.90645,0.90478
27,0.90558,0.9058,0.90647,0.90448
28,0.90422,0.90558,0.90589,0.90417
29,0.90445,0.90422,0.90462,0.90382
30,0.90315,0.90445,0.90483,0.90302
31,0.90315,0.90315,0.90391,0.90297
32,0.90276,0.90315,0.90366,0.90174
33,0.90347,0.90276,0.9036,0.90237
34,0.90415,0.90347,0.90602,0.90347
35,0.9024,0.90415,0.9046,0.902
36,0.90162,0.9024,0.90289,0.90122
37,0.90253,0.90162,0.90264,0.90146
38,0.90184,0.90253,0.90286,0.90175
39,0.90216,0.90184,0.9024,0.90181
40,0.90187,0.90216,0.90227,0.90162
41,0.90164,0.90187,0.90214,0.90146
42,0.90206,0.90164,0.9024,0.90156
43,0.90243,0.90206,0.90301,0.902
44,0.90216,0.90243,0.90273,0.902
45,0.90192,0.90216,0.90261,0.90177
46,0.90164,0.90192,0.90206,0.90142
47,0.90165,0.90164,0.90174,0.90152
48,0.90153,0.90165,0.9019,0.90149
49,0.90172,0.90153,0.90179,0.90088
50,0.90181,0.90172,0.90254,0.90095
51,0.9005,0.90181,0.90187,0.9005
52,0.89996,0.9005,0.90116,0.89984
53,0.89961,0.89996,0.89997,0.89808
54,0.90088,0.89961,0.90098,0.89948
55,0.9003,0.90088,0.90093,0.9002
56,0.89943,0.9003,0.90094,0.89916
57,0.89902,0.89943,0.89988,0.89881
58,0.89687,0.89902,0.89972,0.89683
59,0.89575,0.89687,0.89748,0.89573
60,0.89624,0.89575,0.89639,0.89488
61,0.89558,0.89624,0.89655,0.89526
62,0.89469,0.89558,0.89565,0.89443
63,0.89522,0.89469,0.89526,0.89467
64,0.89594,0.89522,0.89599,0.89506
65,0.89659,0.89598,0.89678,0.89571
66,0.89618,0.89659,0.89678,0.89563
67,0.89591,0.89618,0.89625,0.89582
68,0.89633,0.89591,0.89643,0.89573
69,0.89619,0.89633,0.89635,0.89602
70,0.89598,0.89619,0.89629,0.89576
71,0.89607,0.89598,0.89658,0.8959
72,0.89607,0.89607,0.89641,0.89592
73,0.89574,0.89607,0.89634,0.89563
74,0.89708,0.89574,0.89722,0.89525
75,0.89818,0.89708,0.89852,0.89686
76,0.89739,0.89818,0.89886,0.89658
77,0.89847,0.89739,0.8987,0.89731
78,0.897,0.89847,0.89851,0.89698
79,0.8974,0.897,0.89784,0.89679
80,0.89756,0.8974,0.89757,0.8971
81,0.89764,0.89756,0.89809,0.89733
82,0.89759,0.89764,0.89814,0.89681
83,0.89895,0.89759,0.89912,0.8975
84,0.89785,0.89895,0.89901,0.89757
85,0.89866,0.89785,0.89909,0.89771
86,0.89895,0.89866,0.89916,0.89861
87,0.89875,0.89895,0.89908,0.89849
88,0.89829,0.89875,0.89883,0.89779
89,0.89753,0.89829,0.89837,0.89729
90,0.89784,0.89753,0.89798,0.89751
91,0.89746,0.89784,0.8982,0.89732
92,0.89686,0.89746,0.89753,0.89676
93,0.8966,0.89686,0.89691,0.89648
94,0.89659,0.8966,0.89667,0.89618
95,0.89653,0.89659,0.89664,0.89628
96,0.89661,0.89653,0.89668,0.89637
97,0.89643,0.89661,0.89678,0.89607
98,0.8967,0.89643,0.89673,0.89486
99,0.89598,0.8967,0.89749,0.89574
100,0.897,0.89598,0.89704,0.89557
101,0.89714,0.897,0.89769,0.89672
102,0.89759,0.89714,0.89819,0.89708
103,0.89816,0.89759,0.8985,0.89701
104,0.89732,0.89816,0.89817,0.89717
105,0.89881,0.89732,0.89884,0.89692
106,0.89873,0.89881,0.89926,0.89813
107,0.89944,0.89873,0.89951,0.8984
108,0.90028,0.89944,0.90066,0.89943
109,0.9,0.90028,0.90057,0.8999
110,0.89969,0.9,0.9005,0.89965
111,0.8994,0.89969,0.8998,0.89926
112,0.89998,0.8994,0.90023,0.89939
113,0.90013,0.89998,0.90047,0.89934
114,0.89944,0.90013,0.9002,0.89915
115,0.89938,0.89944,0.89979,0.89922
116,0.89955,0.89938,0.89979,0.89905
117,0.89919,0.89955,0.89964,0.89901
118,0.8994,0.89919,0.89952,0.89913
119,0.89932,0.8994,0.89956,0.8993
120,0.89946,0.89932,0.8996,0.89919
121,0.89983,0.89946,0.89985,0.89937
122,0.90055,0.89983,0.90062,0.89958
123,0.89781,0.90055,0.90057,0.89773
124,0.89869,0.89781,0.89926,0.89755
125,0.8999,0.89869,0.9005,0.89866
126,0.89961,0.8999,0.90002,0.89916
127,0.89865,0.89961,0.89988,0.89813
128,0.89997,0.89865,0.90006,0.89836
129,0.90165,0.89997,0.90204,0.89973
130,0.90331,0.90165,0.90382,0.90122
131,0.90297,0.90331,0.90415,0.90286
132,0.90272,0.90297,0.90369,0.90241
133,0.90239,0.90272,0.90294,0.90208
134,0.9022,0.90239,0.90313,0.90191
135,0.90254,0.9022,0.90262,0.90208
136,0.9027,0.90254,0.90279,0.90225
137,0.90256,0.9027,0.90307,0.90225
138,0.90277,0.90256,0.90285,0.90235
139,0.90319,0.90277,0.9035,0.90265
140,0.90372,0.90319,0.90379,0.90274
141,0.90395,0.90372,0.90406,0.90342
142,0.90408,0.90395,0.90439,0.90386
143,0.90422,0.90408,0.90451,0.90406
144,0.90408,0.90422,0.90426,0.90371
145,0.90395,0.90408,0.90416,0.90351
146,0.90438,0.90395,0.90535,0.90381
147,0.9043,0.90438,0.9053,0.9039
148,0.90295,0.9043,0.90448,0.90252
149,0.9041,0.90295,0.90423,0.90285
150,0.90487,0.9041,0.90598,0.90372
151,0.90481,0.90487,0.90597,0.9047
152,0.9027,0.90481,0.90491,0.90263
153,0.90346,0.9027,0.90355,0.90243
154,0.90172,0.90346,0.90389,0.90153
155,0.9021,0.90172,0.90253,0.9014
156,0.90238,0.9021,0.90312,0.90182
157,0.90203,0.90238,0.90258,0.90127
158,0.90228,0.90203,0.90234,0.90176
159,0.90213,0.90228,0.90238,0.90203
160,0.9024,0.90213,0.90249,0.90174
161,0.90225,0.9024,0.90274,0.90183
162,0.90241,0.90225,0.90242,0.90202
163,0.9029,0.90241,0.90308,0.90228
164,0.90297,0.9029,0.90313,0.90245
165,0.90314,0.90297,0.90334,0.90281
166,0.90324,0.90314,0.90365,0.90305
167,0.90302,0.90324,0.9033,0.90291
168,0.9032,0.90302,0.90343,0.90298
169,0.90332,0.9032,0.90344,0.90306
170,0.90388,0.90332,0.90457,0.90321
171,0.90514,0.90388,0.90523,0.90325
172,0.90338,0.90514,0.90624,0.90309
173,0.89955,0.90338,0.90363,0.89797
174,0.89931,0.89955,0.90263,0.89831
175,0.90027,0.89931,0.90042,0.89892
176,0.89886,0.90027,0.9005,0.89856
177,0.89679,0.89886,0.89896,0.8966
178,0.89513,0.89679,0.89682,0.895
179,0.89437,0.89513,0.89528,0.89324
180,0.89295,0.89437,0.89444,0.89245
181,0.89269,0.89295,0.89319,0.8924
182,0.89258,0.89269,0.8929,0.89244
183,0.89238,0.89258,0.89328,0.89234
184,0.89352,0.89238,0.89352,0.89227
185,0.89149,0.89196,0.89238,0.8911
186,0.89199,0.89149,0.89204,0.89107
187,0.89188,0.89199,0.89232,0.89174
188,0.89257,0.89188,0.89277,0.89186
189,0.89279,0.89257,0.8929,0.89238
190,0.89297,0.89279,0.89303,0.89264
191,0.89355,0.89297,0.89356,0.89282
192,0.89325,0.89355,0.89361,0.89313
193,0.89322,0.89325,0.89368,0.89306
194,0.89412,0.89322,0.89446,0.89258
195,0.89484,0.89412,0.89527,0.89375
196,0.8931,0.89484,0.89488,0.89292
197,0.89257,0.8931,0.89328,0.89106
198,0.89096,0.89257,0.89286,0.89053
199,0.89202,0.89096,0.89207,0.89067
200,0.89214,0.89202,0.89283,0.89127
201,0.89256,0.89214,0.89263,0.89109
202,0.88821,0.89256,0.89262,0.88755
203,0.89196,0.88821,0.8923,0.88756
204,0.89041,0.89196,0.89229,0.8903
205,0.89105,0.89041,0.89109,0.88973
206,0.89118,0.89105,0.89196,0.89099
207,0.89136,0.89118,0.89202,0.89118
