None,closeask,openask,highask,lowask
0,10.17638,10.16383,10.1784,10.16383
1,10.1774,10.17638,10.18489,10.17537
2,10.2108,10.1774,10.21349,10.1767
3,10.2074,10.2108,10.21811,10.19824
4,10.21943,10.2074,10.21943,10.2003
5,10.2244,10.21943,10.22654,10.21123
6,10.2117,10.2244,10.2245,10.2078
7,10.21236,10.2117,10.21578,10.2022
8,10.23084,10.21236,10.2493,10.2083
9,10.2172,10.23084,10.23529,10.2168
10,10.2033,10.2172,10.21826,10.20232
11,10.21561,10.2033,10.2174,10.19816
12,10.1969,10.21561,10.21608,10.1948
13,10.21639,10.1969,10.21866,10.19669
14,10.22522,10.21639,10.2269,10.21549
15,10.22269,10.22522,10.22982,10.21956
16,10.2385,10.22269,10.2385,10.22109
17,10.2452,10.2385,10.2452,10.23164
18,10.22649,10.2452,10.25014,10.22529
19,10.23993,10.22649,10.2519,10.2257
20,10.24104,10.23993,10.2508,10.2389
21,10.23776,10.24104,10.2413,10.2371
22,10.24241,10.23776,10.24451,10.23731
23,10.24049,10.24241,10.24245,10.23976
24,10.24116,10.24049,10.24666,10.23987
25,10.24467,10.24116,10.24719,10.24087
26,10.25443,10.24467,10.25486,10.23916
27,10.2516,10.25443,10.2665,10.2447
28,10.2739,10.2516,10.276,10.2426
29,10.28801,10.2739,10.2909,10.2662
30,10.291,10.28801,10.29706,10.2837
31,10.28464,10.291,10.29231,10.2796
32,10.2769,10.28464,10.2911,10.2732
33,10.264,10.2769,10.28266,10.2614
34,10.2735,10.264,10.2961,10.2636
35,10.26151,10.2735,10.2771,10.2571
36,10.254,10.26151,10.26263,10.25228
37,10.25265,10.254,10.26018,10.25243
38,10.2586,10.25265,10.26059,10.25265
39,10.26061,10.2586,10.26364,10.2573
40,10.2576,10.26061,10.26072,10.255
41,10.27,10.2576,10.273,10.2565
42,10.2593,10.27,10.27,10.25577
43,10.26357,10.2593,10.26432,10.2587
44,10.26369,10.26357,10.26432,10.2593
45,10.2587,10.26369,10.26431,10.2587
46,10.2581,10.2587,10.26396,10.2555
47,10.25649,10.2581,10.26236,10.2553
48,10.2535,10.25649,10.26257,10.2511
49,10.25092,10.2535,10.25732,10.24954
50,10.25301,10.25092,10.25706,10.23513
51,10.2596,10.25301,10.26069,10.24933
52,10.256,10.2596,10.26244,10.2485
53,10.25373,10.256,10.25667,10.24561
54,10.24796,10.25373,10.2551,10.2471
55,10.247,10.24796,10.2551,10.24641
56,10.23003,10.247,10.25581,10.2262
57,10.2307,10.23003,10.2384,10.22559
58,10.19978,10.2307,10.2307,10.193
59,10.20839,10.19978,10.21564,10.19525
60,10.22395,10.20839,10.2256,10.2028
61,10.21782,10.22395,10.22662,10.2174
62,10.2078,10.21782,10.21855,10.20656
63,10.21634,10.2078,10.22594,10.2057
64,10.22665,10.21634,10.2288,10.2083
65,10.2182,10.21766,10.23482,10.2156
66,10.2212,10.2182,10.2367,10.21177
67,10.20983,10.2212,10.22278,10.2092
68,10.21012,10.20983,10.21803,10.2071
69,10.21174,10.21012,10.21712,10.2079
70,10.2135,10.21174,10.21573,10.20989
71,10.21479,10.2135,10.21769,10.2134
72,10.2154,10.21479,10.21719,10.21296
73,10.2161,10.2154,10.21722,10.2152
74,10.21674,10.2161,10.21761,10.20728
75,10.2306,10.21674,10.23705,10.2136
76,10.23222,10.2306,10.2357,10.2262
77,10.22982,10.23222,10.23613,10.22517
78,10.2294,10.22982,10.23149,10.2251
79,10.2248,10.2294,10.23024,10.22413
80,10.2214,10.2248,10.22601,10.21974
81,10.2277,10.2214,10.2332,10.2204
82,10.2069,10.2277,10.22939,10.20581
83,10.21028,10.2069,10.21879,10.20628
84,10.2091,10.21028,10.2105,10.20492
85,10.20975,10.2091,10.214,10.2083
86,10.21249,10.20975,10.21289,10.20784
87,10.20861,10.21249,10.21318,10.2079
88,10.2099,10.20861,10.21122,10.2064
89,10.20994,10.2099,10.21198,10.2078
90,10.21021,10.20994,10.2103,10.2084
91,10.21,10.21021,10.2189,10.2081
92,10.2071,10.21,10.2134,10.20452
93,10.20643,10.2071,10.20789,10.2042
94,10.2053,10.20643,10.20733,10.2046
95,10.20475,10.2053,10.20549,10.204
96,10.2054,10.20475,10.20618,10.2035
97,10.20711,10.2054,10.20724,10.20326
98,10.20414,10.20711,10.21359,10.2033
99,10.186,10.20414,10.20414,10.1805
100,10.19058,10.186,10.19119,10.18052
101,10.18619,10.19058,10.2007,10.182
