None,closeask,openask,highask,lowask
0,1.14782,1.14453,1.14791,1.14453
1,1.14856,1.14782,1.14969,1.14772
2,1.14769,1.14856,1.14933,1.14738
3,1.14483,1.14769,1.14782,1.14289
4,1.14342,1.14483,1.14499,1.14222
5,1.14372,1.14342,1.14419,1.14321
6,1.14339,1.14372,1.14392,1.14247
7,1.14052,1.14339,1.14342,1.13979
8,1.13718,1.14052,1.14058,1.13675
9,1.13608,1.13718,1.13755,1.1358
10,1.1354,1.13608,1.13698,1.1342
11,1.13566,1.1354,1.13623,1.13489
12,1.13354,1.13566,1.13572,1.13312
13,1.13282,1.13354,1.13365,1.13261
14,1.13438,1.13282,1.13443,1.13252
15,1.13458,1.13438,1.13479,1.13406
16,1.13442,1.13458,1.1348,1.13403
17,1.13481,1.13442,1.13642,1.13121
18,1.13128,1.13481,1.13579,1.13097
19,1.13398,1.13128,1.13469,1.13103
20,1.13488,1.13398,1.13528,1.13398
21,1.13586,1.13488,1.13618,1.13463
22,1.1365,1.13586,1.13718,1.13571
23,1.13675,1.1365,1.13682,1.13608
24,1.13612,1.13675,1.13701,1.13572
25,1.13726,1.13612,1.13771,1.13551
26,1.137,1.13726,1.13772,1.13617
27,1.13802,1.137,1.13842,1.13542
28,1.1376,1.13802,1.13843,1.13731
29,1.13684,1.1376,1.13797,1.13636
30,1.13417,1.13684,1.1372,1.13405
31,1.13436,1.13417,1.13555,1.13397
32,1.13657,1.13436,1.13673,1.13376
33,1.13649,1.13657,1.13725,1.13614
34,1.1393,1.13649,1.14095,1.13649
35,1.13986,1.1393,1.14113,1.13871
36,1.1399,1.13986,1.14059,1.13933
37,1.14009,1.1399,1.14069,1.13966
38,1.13916,1.14009,1.14041,1.1383
39,1.13984,1.13916,1.14017,1.13898
40,1.1394,1.13984,1.13998,1.13936
41,1.13938,1.1394,1.14,1.13884
42,1.13905,1.13938,1.13967,1.139
43,1.14056,1.13905,1.14058,1.13895
44,1.14043,1.14056,1.1412,1.14031
45,1.13979,1.14043,1.14079,1.13977
46,1.13982,1.13979,1.13989,1.13883
47,1.13943,1.13982,1.13989,1.13904
48,1.13903,1.13943,1.13985,1.13896
49,1.13935,1.13903,1.13943,1.13832
