None,closeask,openask,highask,lowask
0,1.73507,1.73868,1.73868,1.73306
1,1.73566,1.73507,1.73699,1.73433
2,1.73133,1.73566,1.73602,1.73012
3,1.73131,1.73133,1.73473,1.72926
4,1.72916,1.73131,1.73361,1.72881
5,1.72766,1.72916,1.73055,1.7271
6,1.72646,1.72766,1.7285,1.72604
7,1.7253,1.72646,1.72662,1.72394
8,1.72121,1.7253,1.72652,1.72075
9,1.71776,1.72121,1.7213,1.71697
10,1.7144,1.71776,1.71907,1.7114
11,1.71236,1.7144,1.71607,1.70955
12,1.70948,1.71236,1.71264,1.70853
13,1.71085,1.70948,1.71214,1.70877
14,1.71366,1.71085,1.71372,1.71031
15,1.71289,1.71366,1.71534,1.71262
16,1.71248,1.71289,1.71434,1.71227
17,1.70323,1.71248,1.71434,1.69968
18,1.70628,1.70323,1.71263,1.70201
19,1.71065,1.70628,1.71178,1.70609
20,1.70911,1.71065,1.71079,1.70849
21,1.7106,1.70911,1.71185,1.70879
22,1.71112,1.7106,1.71208,1.70954
23,1.71115,1.71112,1.71189,1.71083
24,1.71148,1.71115,1.71235,1.71084
25,1.7111,1.71148,1.71203,1.7104
26,1.70929,1.7111,1.71265,1.70804
27,1.71126,1.70929,1.71169,1.70737
28,1.71331,1.71126,1.71345,1.71016
29,1.71142,1.71331,1.71395,1.71095
30,1.70982,1.71142,1.71225,1.7094
31,1.70604,1.70982,1.70994,1.70598
32,1.70436,1.70604,1.7072,1.7019
33,1.70112,1.70436,1.7046,1.70037
34,1.7022,1.70112,1.70619,1.7002
35,1.7032,1.7022,1.7043,1.69993
36,1.70337,1.7032,1.70527,1.70176
37,1.70259,1.70337,1.70515,1.70246
38,1.70243,1.70259,1.70335,1.70155
39,1.70345,1.70243,1.70433,1.7022
40,1.7045,1.70345,1.70469,1.70264
41,1.70386,1.7045,1.7063,1.70386
42,1.70235,1.70386,1.70417,1.7015
43,1.70463,1.70235,1.70479,1.70138
44,1.70414,1.70463,1.70586,1.70374
45,1.70435,1.70414,1.70463,1.70315
46,1.70463,1.70435,1.70516,1.70366
47,1.70413,1.70463,1.70478,1.70373
48,1.70407,1.70413,1.70424,1.70366
49,1.70274,1.70407,1.70435,1.70211
50,1.70147,1.70274,1.70319,1.70035
51,1.70232,1.70147,1.70418,1.70136
52,1.70395,1.70232,1.70435,1.70179
53,1.70565,1.70395,1.70784,1.70339
54,1.70321,1.70565,1.70588,1.70297
55,1.70211,1.70321,1.70404,1.70162
56,1.6983,1.70211,1.70439,1.69729
57,1.69814,1.6983,1.69915,1.69553
58,1.70351,1.69814,1.70351,1.69621
59,1.70685,1.70351,1.70711,1.70135
60,1.70533,1.70685,1.70861,1.70453
61,1.70602,1.70533,1.70669,1.70407
62,1.70676,1.70602,1.70781,1.70522
63,1.70663,1.70676,1.70764,1.70578
64,1.70255,1.70663,1.70681,1.70213
65,1.70377,1.70375,1.70416,1.70282
66,1.7024,1.70377,1.70497,1.70219
67,1.7038,1.7024,1.70412,1.70196
68,1.70335,1.7038,1.70395,1.70289
69,1.70276,1.70335,1.70348,1.70241
70,1.70306,1.70276,1.70347,1.70262
71,1.70251,1.70306,1.70328,1.7025
72,1.703,1.70251,1.70319,1.70214
73,1.70289,1.703,1.70333,1.70236
74,1.7022,1.70289,1.70325,1.70186
75,1.70057,1.7022,1.70318,1.69953
76,1.70388,1.70057,1.70582,1.69978
77,1.70147,1.70388,1.70427,1.70101
78,1.70391,1.70147,1.70424,1.70147
79,1.70205,1.70391,1.70481,1.70189
80,1.70432,1.70205,1.70503,1.70205
81,1.7046,1.70432,1.70684,1.70357
82,1.70053,1.7046,1.70506,1.69871
83,1.69577,1.70053,1.70059,1.69554
84,1.69804,1.69577,1.69982,1.69566
85,1.6974,1.69804,1.69805,1.69631
86,1.69782,1.6974,1.6986,1.697
87,1.69801,1.69782,1.6985,1.69735
88,1.69979,1.69801,1.69992,1.69744
89,1.70015,1.69979,1.70111,1.69903
90,1.70018,1.70015,1.70032,1.69934
91,1.69875,1.70018,1.70019,1.69872
92,1.69784,1.69875,1.69922,1.69748
93,1.69614,1.69784,1.69822,1.69611
94,1.69525,1.69614,1.69691,1.69388
95,1.6946,1.69525,1.69542,1.69416
96,1.6953,1.6946,1.69537,1.69428
97,1.69503,1.6953,1.69675,1.69459
98,1.69557,1.69503,1.69873,1.69448
99,1.69673,1.69557,1.69719,1.6936
100,1.69476,1.69673,1.69743,1.69471
101,1.69447,1.69476,1.695,1.69288
102,1.69625,1.69447,1.69711,1.69255
103,1.6944,1.69625,1.6969,1.69397
104,1.69452,1.6944,1.69574,1.69342
105,1.69092,1.69452,1.69524,1.69092
106,1.6918,1.69092,1.69324,1.68979
107,1.69322,1.6918,1.69715,1.69079
108,1.69188,1.69322,1.69329,1.6899
109,1.68925,1.69188,1.69223,1.68921
110,1.68933,1.68925,1.68953,1.68788
111,1.68883,1.68933,1.68939,1.6882
112,1.68818,1.68883,1.68909,1.68767
113,1.68829,1.68818,1.68976,1.688
114,1.68736,1.68829,1.68944,1.68705
115,1.68822,1.68736,1.6887,1.68695
116,1.68636,1.68822,1.68852,1.68628
117,1.68591,1.68636,1.68644,1.68491
118,1.68489,1.68591,1.68593,1.68487
119,1.68586,1.68489,1.68586,1.68471
120,1.68592,1.68586,1.68644,1.68514
121,1.68512,1.68592,1.68595,1.68492
122,1.68477,1.68512,1.68626,1.68451
123,1.69029,1.68477,1.69114,1.68468
124,1.68835,1.69029,1.69064,1.68763
125,1.68527,1.68835,1.68837,1.68324
126,1.68551,1.68527,1.68631,1.68462
127,1.68674,1.68551,1.68881,1.68465
128,1.68722,1.68674,1.68807,1.68481
129,1.69092,1.68722,1.69098,1.68654
130,1.68708,1.69092,1.69361,1.68435
131,1.68615,1.68708,1.68776,1.68337
132,1.68778,1.68615,1.68854,1.68595
133,1.68872,1.68778,1.68976,1.68676
134,1.69175,1.68872,1.69192,1.68855
135,1.69196,1.69175,1.69223,1.68992
136,1.68941,1.69196,1.69235,1.68937
137,1.69041,1.68941,1.69102,1.68896
138,1.69118,1.69041,1.69121,1.69002
139,1.6917,1.69118,1.6917,1.69006
140,1.69201,1.6917,1.69268,1.69131
141,1.69221,1.69201,1.69282,1.69151
142,1.69233,1.69221,1.6926,1.69139
143,1.69122,1.69233,1.69233,1.69107
144,1.69175,1.69122,1.69208,1.691
145,1.69084,1.69175,1.693,1.69077
146,1.68971,1.69084,1.69175,1.68888
147,1.6884,1.68971,1.691,1.68805
148,1.68852,1.6884,1.6901,1.68749
149,1.68531,1.68852,1.68859,1.68444
150,1.68452,1.68531,1.68712,1.68193
151,1.68512,1.68452,1.68517,1.68219
152,1.68943,1.68512,1.6901,1.68488
153,1.68921,1.68943,1.69047,1.688
154,1.69047,1.68921,1.69121,1.68666
155,1.68944,1.69047,1.69179,1.68863
156,1.68775,1.68944,1.68971,1.68652
157,1.68775,1.68775,1.6902,1.68673
158,1.68604,1.68775,1.68806,1.68587
159,1.68706,1.68604,1.68729,1.68563
160,1.6883,1.68706,1.68834,1.68682
161,1.68847,1.6883,1.68932,1.68741
162,1.68853,1.68847,1.6888,1.68754
163,1.68727,1.68853,1.68891,1.68686
164,1.68671,1.68727,1.68784,1.68662
165,1.68602,1.68671,1.68702,1.68557
166,1.68586,1.68602,1.68605,1.68514
167,1.68575,1.68586,1.68599,1.68532
168,1.68528,1.68575,1.68581,1.68449
169,1.68509,1.68528,1.68542,1.68435
170,1.68304,1.68509,1.68554,1.68249
171,1.67953,1.68304,1.68445,1.67936
172,1.68202,1.67953,1.68264,1.67584
173,1.69098,1.68202,1.69449,1.68141
174,1.69262,1.69098,1.69439,1.68548
175,1.69156,1.69262,1.69325,1.69093
176,1.6977,1.69156,1.6982,1.69127
177,1.69693,1.6977,1.69892,1.69556
178,1.6994,1.69693,1.70041,1.69664
179,1.70137,1.6994,1.70247,1.69892
180,1.70582,1.70137,1.70617,1.70136
181,1.70463,1.70582,1.70618,1.70432
182,1.70482,1.70463,1.70535,1.70388
183,1.70475,1.70482,1.70508,1.70301
184,1.70406,1.70475,1.70524,1.70307
185,1.70571,1.70571,1.70612,1.70462
186,1.70481,1.70571,1.7066,1.70466
187,1.70487,1.70481,1.70534,1.70444
188,1.70467,1.70487,1.70523,1.70319
189,1.70469,1.70467,1.70518,1.7043
190,1.70555,1.70469,1.70685,1.70465
191,1.70542,1.70555,1.70626,1.7051
192,1.70612,1.70542,1.70638,1.70508
193,1.70699,1.70612,1.70742,1.70501
194,1.70559,1.70699,1.70889,1.70387
195,1.70224,1.70559,1.70598,1.70094
196,1.70337,1.70224,1.70352,1.70176
197,1.70513,1.70337,1.70714,1.70243
198,1.70914,1.70513,1.70963,1.70466
199,1.70712,1.70914,1.70942,1.70563
200,1.70477,1.70712,1.70712,1.7038
201,1.7046,1.70477,1.70759,1.70391
202,1.71244,1.7046,1.7139,1.70354
203,1.70929,1.71244,1.71389,1.70795
204,1.71014,1.70929,1.71073,1.7077
205,1.70758,1.71014,1.7104,1.70752
206,1.70688,1.70758,1.70803,1.70586
207,1.7082,1.70688,1.70841,1.70535
208,1.71004,1.7082,1.71013,1.7082
209,1.70918,1.71004,1.71043,1.70834
210,1.70958,1.70918,1.71047,1.70869
211,1.70993,1.70958,1.71017,1.70893
212,1.71106,1.70993,1.71315,1.70924
213,1.71143,1.71106,1.712,1.71074
214,1.71159,1.71143,1.71205,1.71125
215,1.71165,1.71159,1.71167,1.71074
216,1.71304,1.71165,1.71316,1.71112
217,1.71197,1.71304,1.71305,1.71117
218,1.7079,1.71197,1.712,1.70767
219,1.70722,1.7079,1.7087,1.70501
220,1.70791,1.70722,1.70888,1.70552
221,1.70284,1.70791,1.70857,1.70155
222,1.70613,1.70284,1.7062,1.70116
223,1.70327,1.70613,1.70756,1.70248
224,1.70308,1.70327,1.70381,1.70122
225,1.69888,1.70308,1.70363,1.69837
226,1.69636,1.69888,1.69951,1.69557
227,1.69381,1.69636,1.69641,1.69234
228,1.69081,1.69381,1.69413,1.68919
229,1.68758,1.69081,1.69183,1.6871
230,1.70486,1.68758,1.70512,1.68401
231,1.70959,1.70486,1.71084,1.70241
232,1.70636,1.70959,1.71058,1.70573
233,1.70701,1.70636,1.7085,1.70593
234,1.707,1.70701,1.70771,1.7063
235,1.70579,1.707,1.70721,1.70445
236,1.70364,1.70579,1.70588,1.70276
237,1.70387,1.70364,1.70417,1.70331
238,1.70533,1.70387,1.70567,1.70371
239,1.70579,1.70533,1.70597,1.70511
240,1.70549,1.70579,1.70633,1.7049
241,1.70334,1.70549,1.70557,1.70302
242,1.70346,1.70334,1.70618,1.70322
243,1.70537,1.70346,1.70854,1.70342
244,1.70784,1.70537,1.70979,1.70531
245,1.70711,1.70784,1.7085,1.70547
246,1.70523,1.70711,1.70892,1.70497
247,1.70817,1.70523,1.71062,1.70396
248,1.70431,1.70817,1.70886,1.70387
249,1.70716,1.70431,1.70779,1.7031
250,1.70384,1.70716,1.70777,1.70367
251,1.70326,1.70384,1.70564,1.7026
252,1.7021,1.70326,1.70714,1.70119
253,1.70427,1.7021,1.70427,1.70157
254,1.70524,1.70427,1.70651,1.70279
255,1.70774,1.70524,1.70835,1.70487
256,1.70785,1.70774,1.70871,1.70688
257,1.70712,1.70785,1.70878,1.70711
258,1.70883,1.70712,1.70886,1.70693
259,1.70806,1.70883,1.70889,1.70746
260,1.70921,1.70806,1.70939,1.70747
261,1.70836,1.70921,1.71002,1.70807
262,1.70851,1.70836,1.7088,1.70802
263,1.70947,1.70851,1.70976,1.70833
264,1.71006,1.70947,1.71027,1.70913
265,1.70934,1.71006,1.71008,1.7084
266,1.70861,1.70934,1.71137,1.7082
267,1.70965,1.70861,1.71114,1.70675
268,1.71079,1.70965,1.71108,1.70829
269,1.71099,1.71079,1.71117,1.70876
270,1.71198,1.71099,1.71468,1.70945
271,1.71513,1.71198,1.71613,1.71078
272,1.71712,1.71513,1.72018,1.71478
273,1.71755,1.71712,1.71924,1.71691
274,1.71606,1.71755,1.71863,1.71402
275,1.72023,1.71606,1.72046,1.71527
276,1.72356,1.72023,1.72404,1.71936
277,1.72522,1.72356,1.72595,1.72326
278,1.72344,1.72522,1.72747,1.72138
279,1.72399,1.72344,1.72461,1.72205
280,1.72431,1.72399,1.72527,1.7236
281,1.72464,1.72431,1.7258,1.72412
282,1.72453,1.72464,1.72514,1.7238
283,1.72311,1.72453,1.72454,1.72175
284,1.72403,1.72311,1.72411,1.72223
285,1.7222,1.72403,1.72405,1.72212
286,1.72255,1.7222,1.72294,1.72173
287,1.7239,1.72255,1.72397,1.72254
288,1.72298,1.7239,1.72406,1.72259
289,1.72168,1.72298,1.72382,1.72092
290,1.7184,1.72168,1.7219,1.71806
291,1.71776,1.7184,1.7193,1.71708
292,1.71645,1.71776,1.71898,1.71534
293,1.71698,1.71645,1.71831,1.71505
294,1.71413,1.71698,1.71926,1.71382
295,1.71686,1.71413,1.71751,1.71335
296,1.71407,1.71686,1.71858,1.71218
297,1.71216,1.71407,1.71569,1.7118
298,1.7101,1.71216,1.71315,1.70777
299,1.7106,1.7101,1.7108,1.70771
300,1.70884,1.7106,1.71073,1.70748
301,1.70803,1.70884,1.70897,1.70768
302,1.70746,1.70877,1.7096,1.70712
303,1.70636,1.70746,1.70885,1.70589
304,1.70566,1.70636,1.7075,1.70554
305,1.7067,1.70566,1.70787,1.70555
306,1.70657,1.7067,1.7067,1.70503
307,1.70614,1.70657,1.70661,1.70586
308,1.70667,1.70614,1.70741,1.70608
309,1.70691,1.70667,1.7073,1.70618
310,1.70769,1.70691,1.70804,1.70666
311,1.70776,1.70769,1.7092,1.7073
312,1.70701,1.70776,1.7087,1.70596
313,1.70565,1.70701,1.70832,1.70477
314,1.70867,1.70565,1.70869,1.70522
315,1.7111,1.70867,1.71158,1.70785
316,1.71303,1.7111,1.71357,1.71026
317,1.71137,1.71303,1.71317,1.71113
318,1.71122,1.71137,1.71366,1.71081
319,1.71378,1.71122,1.71385,1.70893
320,1.71466,1.71378,1.71583,1.71269
321,1.7152,1.71466,1.71545,1.71405
322,1.71373,1.7152,1.71552,1.71291
323,1.7138,1.71373,1.71478,1.71329
324,1.71476,1.7138,1.7151,1.71357
325,1.71487,1.71476,1.71516,1.71436
326,1.71564,1.71487,1.71605,1.7144
327,1.7143,1.71564,1.71564,1.71421
328,1.71488,1.7143,1.71638,1.71398
329,1.71464,1.71488,1.71504,1.71391
330,1.71505,1.71464,1.71532,1.71415
331,1.71396,1.71505,1.71515,1.71342
332,1.71495,1.71396,1.71535,1.71387
333,1.71399,1.71495,1.71528,1.71391
334,1.71598,1.71399,1.71626,1.71391
335,1.7159,1.71598,1.71686,1.71451
336,1.71842,1.7159,1.71887,1.71528
337,1.72135,1.71842,1.72214,1.71712
338,1.72043,1.72135,1.72278,1.71998
339,1.71876,1.72043,1.7212,1.7186
340,1.71874,1.71876,1.71951,1.71668
341,1.72361,1.71874,1.72443,1.71784
342,1.72516,1.72361,1.7268,1.72323
343,1.72796,1.72516,1.7292,1.7243
344,1.72733,1.72796,1.72921,1.72619
345,1.72892,1.72733,1.72976,1.72676
346,1.73023,1.72892,1.73192,1.72889
347,1.73004,1.73023,1.7307,1.72889
348,1.72973,1.73004,1.73075,1.72916
349,1.73038,1.72973,1.73079,1.72888
350,1.7308,1.73038,1.73125,1.73009
351,1.73051,1.7308,1.73117,1.73012
352,1.72851,1.73051,1.73054,1.72767
353,1.72645,1.72851,1.72948,1.7262
354,1.72827,1.72645,1.72827,1.72639
355,1.72601,1.72827,1.72844,1.72571
356,1.72598,1.72601,1.72697,1.72562
357,1.72571,1.72598,1.7262,1.72512
358,1.72707,1.72571,1.72727,1.72504
359,1.7277,1.72707,1.72847,1.72653
360,1.72952,1.7277,1.73063,1.72545
361,1.72964,1.72952,1.7318,1.72905
362,1.73068,1.72964,1.73172,1.72726
363,1.7357,1.73068,1.73613,1.72984
364,1.73489,1.7357,1.73664,1.73421
365,1.73818,1.73489,1.73872,1.73403
366,1.74348,1.73818,1.74354,1.7379
367,1.74518,1.74348,1.74829,1.74296
368,1.74701,1.74518,1.74748,1.7442
369,1.74406,1.74701,1.74727,1.74355
370,1.74421,1.74406,1.74517,1.74314
371,1.70837,1.70803,1.70918,1.70698
372,1.70802,1.70837,1.70889,1.70707
373,1.70848,1.70802,1.70899,1.70779
374,1.74395,1.74421,1.74522,1.74362
375,1.74434,1.74395,1.74453,1.74302
376,1.74437,1.74434,1.74446,1.74364
377,1.7458,1.74437,1.7459,1.74376
378,1.74529,1.7458,1.7458,1.74459
379,1.74444,1.74529,1.74582,1.74357
380,1.74435,1.74444,1.7448,1.74368
381,1.74475,1.74435,1.74548,1.74406
382,1.74491,1.74475,1.74516,1.7443
383,1.7452,1.74491,1.74565,1.74452
384,1.74501,1.7452,1.74533,1.74437
385,1.7446,1.74501,1.74548,1.74409
386,1.74274,1.7446,1.74545,1.74221
387,1.74213,1.74274,1.74508,1.74078
388,1.74162,1.74213,1.74331,1.74112
389,1.74123,1.74162,1.74241,1.73994
390,1.73958,1.74123,1.74155,1.73904
391,1.73935,1.73958,1.7413,1.73818
392,1.74161,1.73935,1.74282,1.73804
393,1.74041,1.74161,1.74276,1.73992
394,1.73962,1.74041,1.74164,1.73896
395,1.73808,1.73962,1.74055,1.73786
396,1.73852,1.73808,1.73994,1.73755
397,1.74036,1.73852,1.74059,1.7381
398,1.74297,1.74036,1.74306,1.74024
399,1.7439,1.74297,1.74457,1.74264
400,1.74455,1.7439,1.74567,1.74345
401,1.74621,1.74455,1.74659,1.7439
402,1.75169,1.74621,1.75312,1.74501
403,1.74987,1.75169,1.75202,1.74844
404,1.74893,1.74987,1.75034,1.74876
405,1.74834,1.74893,1.7491,1.74791
406,1.74675,1.74834,1.74941,1.74663
407,1.74727,1.74675,1.74806,1.7464
408,1.749,1.74727,1.75008,1.74714
409,1.74585,1.749,1.74933,1.74547
