None,closeask,openask,highask,lowask
0,1.25233,1.2537,1.2537,1.25224
1,1.25144,1.25233,1.25256,1.25113
2,1.25154,1.25144,1.25201,1.25097
3,1.24755,1.25154,1.25228,1.24667
4,1.24834,1.24755,1.24944,1.2468
5,1.24756,1.24834,1.24954,1.24684
6,1.2469,1.24756,1.24818,1.24636
7,1.24717,1.2469,1.24799,1.24659
8,1.24635,1.24717,1.24743,1.24488
9,1.24636,1.24635,1.24735,1.24573
10,1.24543,1.24636,1.24794,1.245
11,1.24529,1.24543,1.24677,1.24377
12,1.24647,1.24529,1.24682,1.24475
13,1.24884,1.24647,1.24915,1.24629
14,1.24911,1.24884,1.2499,1.24824
15,1.24886,1.24911,1.24965,1.24858
16,1.24864,1.24886,1.24924,1.24781
17,1.2348,1.24864,1.24941,1.2322
18,1.23828,1.2348,1.24246,1.2342
19,1.24001,1.23828,1.24059,1.23824
20,1.23917,1.24001,1.24017,1.23744
21,1.23864,1.23917,1.24045,1.23851
22,1.23862,1.23864,1.23931,1.23799
23,1.23784,1.23862,1.23885,1.23778
24,1.23748,1.23784,1.238,1.2366
25,1.23669,1.23748,1.23761,1.23648
26,1.23876,1.23669,1.23905,1.23666
27,1.23918,1.23876,1.2408,1.23772
28,1.24112,1.23918,1.2421,1.23842
29,1.2423,1.24112,1.24279,1.24053
30,1.24287,1.2423,1.24287,1.2404
31,1.24286,1.24287,1.24331,1.24157
32,1.24454,1.24286,1.24507,1.24184
33,1.2441,1.24454,1.24602,1.24362
34,1.24679,1.2441,1.24715,1.24105
35,1.24922,1.24679,1.25009,1.24602
36,1.25009,1.24922,1.25107,1.24816
37,1.24951,1.25009,1.25034,1.24887
38,1.2487,1.24951,1.24991,1.24862
39,1.24816,1.2487,1.24913,1.248
40,1.24673,1.24816,1.24832,1.24669
41,1.24737,1.24673,1.2478,1.24651
42,1.2469,1.24737,1.24738,1.24651
43,1.24647,1.2469,1.24696,1.24555
44,1.24682,1.24647,1.24734,1.24567
45,1.24698,1.24682,1.2473,1.24652
46,1.24786,1.24698,1.24822,1.24661
47,1.24816,1.24786,1.24848,1.24759
48,1.24737,1.24816,1.24829,1.24723
49,1.24697,1.24737,1.24787,1.24682
50,1.2482,1.24697,1.24842,1.24647
51,1.24934,1.2482,1.24974,1.24796
52,1.2509,1.24934,1.251,1.24873
53,1.2521,1.2509,1.25392,1.25084
54,1.25053,1.2521,1.25222,1.24998
55,1.25058,1.25053,1.25117,1.24995
56,1.25067,1.25058,1.25248,1.24974
57,1.25033,1.25067,1.25117,1.24896
58,1.25431,1.25033,1.25432,1.24937
59,1.25595,1.25431,1.25607,1.25357
60,1.25488,1.25595,1.25669,1.25433
61,1.25599,1.25488,1.25641,1.25444
62,1.25694,1.25599,1.257,1.25545
63,1.25653,1.25694,1.25738,1.25621
64,1.25634,1.25653,1.25666,1.25555
65,1.25727,1.25634,1.2575,1.25461
66,1.25536,1.25727,1.25798,1.25521
67,1.25474,1.25536,1.25543,1.25467
68,1.25447,1.25474,1.25562,1.25435
69,1.25461,1.25447,1.2548,1.25429
70,1.25493,1.25461,1.25496,1.25438
71,1.25502,1.25493,1.25543,1.25449
72,1.25505,1.25502,1.25526,1.25456
73,1.25493,1.25505,1.25527,1.2544
74,1.25466,1.25493,1.25544,1.25419
75,1.25251,1.25466,1.25489,1.25218
76,1.25274,1.25251,1.25399,1.25109
77,1.25127,1.25274,1.25281,1.25061
78,1.25243,1.25127,1.25248,1.25097
79,1.25139,1.25243,1.25286,1.25122
80,1.25156,1.25139,1.25216,1.25103
81,1.25182,1.25156,1.25228,1.25086
82,1.25359,1.25182,1.25377,1.25096
83,1.25156,1.25359,1.25409,1.25062
84,1.25275,1.25156,1.25299,1.25079
85,1.25172,1.25275,1.25308,1.25114
86,1.25092,1.25172,1.25186,1.2508
87,1.25102,1.25092,1.25137,1.25064
88,1.2522,1.25102,1.25225,1.25084
89,1.25296,1.2522,1.2536,1.25186
90,1.25219,1.25296,1.25296,1.25161
91,1.25224,1.25219,1.25243,1.25165
92,1.25214,1.25224,1.25248,1.25178
93,1.25264,1.25214,1.25311,1.25214
94,1.25296,1.25264,1.25343,1.25248
95,1.25273,1.25296,1.25344,1.25249
96,1.25249,1.25273,1.25274,1.25216
97,1.25263,1.25249,1.25331,1.25213
98,1.25197,1.25263,1.25514,1.25162
99,1.25322,1.25197,1.25351,1.25046
100,1.25181,1.25322,1.25394,1.25131
101,1.25146,1.25181,1.25198,1.25048
102,1.25133,1.25146,1.25191,1.24997
103,1.25068,1.25133,1.25192,1.2495
104,1.2516,1.25068,1.25219,1.25053
105,1.24932,1.2516,1.25225,1.2492
106,1.24946,1.24932,1.25043,1.2484
107,1.24829,1.24946,1.24966,1.24828
108,1.24791,1.24829,1.24831,1.24668
109,1.24764,1.24791,1.24802,1.24733
110,1.24801,1.24764,1.24812,1.24689
111,1.24851,1.24801,1.24885,1.2479
112,1.2482,1.24851,1.2486,1.24764
113,1.24847,1.2482,1.24935,1.24788
114,1.24951,1.24847,1.24955,1.24807
115,1.24914,1.24951,1.24951,1.2486
