None,closeask,openask,highask,lowask
0,0.91249,0.91511,0.91511,0.91182
1,0.91398,0.91249,0.91433,0.91216
2,0.91185,0.91398,0.91399,0.91111
3,0.91386,0.91185,0.91399,0.91144
4,0.91437,0.91386,0.91472,0.91359
5,0.91376,0.91437,0.91442,0.91371
6,0.91375,0.91376,0.91436,0.91323
7,0.91187,0.91375,0.91378,0.91174
8,0.90974,0.91187,0.91217,0.9095
9,0.90979,0.90974,0.91014,0.90865
10,0.90713,0.90979,0.90982,0.90528
11,0.90624,0.90713,0.90724,0.90522
12,0.90497,0.90624,0.90653,0.90388
13,0.90455,0.90497,0.90508,0.90441
14,0.90494,0.90455,0.90534,0.90441
15,0.90492,0.90494,0.90564,0.90473
16,0.90375,0.90492,0.9052,0.9037
17,0.90065,0.90375,0.90874,0.89965
18,0.90393,0.90065,0.9064,0.9001
19,0.90235,0.90393,0.90437,0.902
20,0.9033,0.90235,0.90335,0.90182
21,0.90416,0.9033,0.90434,0.90315
22,0.90357,0.90416,0.90417,0.90342
23,0.90401,0.90357,0.90413,0.90332
24,0.90414,0.90401,0.9044,0.90369
25,0.90398,0.90414,0.9043,0.90312
26,0.90479,0.90398,0.9053,0.90352
27,0.9054,0.90479,0.90615,0.90424
28,0.9045,0.9054,0.90559,0.90415
29,0.90395,0.9045,0.90451,0.9032
30,0.90279,0.90395,0.90435,0.90264
31,0.90128,0.90279,0.90317,0.90124
32,0.90035,0.90128,0.90198,0.89909
33,0.9007,0.90035,0.90146,0.89907
34,0.90174,0.9007,0.90392,0.90049
35,0.90157,0.90174,0.9028,0.90067
36,0.90203,0.90157,0.90306,0.90128
37,0.90245,0.90203,0.90285,0.90194
38,0.90173,0.90245,0.90316,0.90172
39,0.90243,0.90173,0.90302,0.90173
40,0.90275,0.90243,0.9028,0.902
41,0.90211,0.90275,0.9035,0.90202
42,0.90153,0.90211,0.9025,0.90123
43,0.90115,0.90153,0.90196,0.9005
44,0.90248,0.90115,0.90275,0.90113
45,0.90305,0.90248,0.90315,0.90203
46,0.90444,0.90305,0.90453,0.90284
47,0.90198,0.90444,0.90444,0.90198
48,0.90229,0.90198,0.90266,0.90178
49,0.90133,0.90229,0.90238,0.90104
50,0.89989,0.90133,0.90141,0.89973
51,0.89936,0.89989,0.90074,0.89878
52,0.90114,0.89936,0.90133,0.89925
53,0.90084,0.90114,0.90128,0.90006
54,0.89996,0.90084,0.90089,0.89973
55,0.89925,0.89996,0.9003,0.89881
56,0.89817,0.89925,0.90017,0.89773
57,0.898,0.89817,0.89879,0.89659
58,0.90249,0.898,0.9026,0.89768
59,0.90362,0.90249,0.9043,0.90133
60,0.90375,0.90362,0.90481,0.90332
61,0.90381,0.90375,0.90431,0.90337
62,0.9033,0.90381,0.90434,0.90317
63,0.90256,0.9033,0.9034,0.90254
64,0.9013,0.90256,0.90275,0.9011
65,0.90125,0.90317,0.90317,0.90088
66,0.90151,0.90125,0.9018,0.90078
67,0.90068,0.90151,0.90172,0.89993
68,0.90174,0.90068,0.90186,0.90061
69,0.90209,0.90174,0.9024,0.9011
70,0.90192,0.90209,0.90217,0.90149
71,0.9013,0.90192,0.9024,0.9013
72,0.90138,0.9013,0.90184,0.90112
73,0.90108,0.90138,0.90185,0.90095
74,0.90125,0.90108,0.90212,0.90105
75,0.90287,0.90125,0.90291,0.90118
76,0.90297,0.90287,0.90383,0.90275
77,0.90247,0.90297,0.90317,0.9024
78,0.90236,0.90247,0.90327,0.90219
79,0.90264,0.90236,0.90341,0.90222
80,0.90337,0.90264,0.9035,0.90221
81,0.90245,0.90337,0.90369,0.9022
82,0.90029,0.90245,0.90265,0.89881
83,0.89872,0.90029,0.9003,0.8985
84,0.89848,0.89872,0.89945,0.89789
85,0.89782,0.89848,0.89869,0.8974
86,0.89792,0.89782,0.89857,0.89731
87,0.89801,0.89792,0.89834,0.8976
88,0.89845,0.89801,0.8985,0.89778
89,0.89813,0.89845,0.89881,0.8977
90,0.89808,0.89813,0.89813,0.89751
91,0.89677,0.89808,0.8982,0.89664
92,0.89699,0.89677,0.89741,0.89653
93,0.89704,0.89699,0.89775,0.89666
94,0.8962,0.89704,0.89742,0.89493
95,0.89501,0.8962,0.89621,0.89497
96,0.89522,0.89501,0.89535,0.8947
97,0.89532,0.89522,0.89545,0.89488
98,0.89458,0.89532,0.89585,0.89442
99,0.89488,0.89458,0.89551,0.8945
100,0.89431,0.89488,0.89537,0.89429
101,0.89443,0.89431,0.89473,0.89396
102,0.89493,0.89443,0.89493,0.89375
103,0.8944,0.89493,0.89563,0.89438
104,0.89341,0.8944,0.89456,0.89315
105,0.89247,0.89341,0.89348,0.89247
106,0.89268,0.89247,0.89325,0.89166
107,0.89462,0.89268,0.89531,0.89236
108,0.89502,0.89462,0.8952,0.89396
109,0.89364,0.89502,0.89521,0.89363
110,0.8931,0.89364,0.89375,0.89262
