None,closeask,openask,highask,lowask
0,0.65862,0.65983,0.65983,0.65862
1,0.65899,0.65862,0.65915,0.65817
2,0.65913,0.65899,0.65933,0.65828
3,0.65848,0.65913,0.65915,0.65778
4,0.66011,0.65848,0.66035,0.65803
5,0.65984,0.66011,0.66013,0.65945
6,0.65993,0.65984,0.6605,0.65971
7,0.65919,0.65993,0.66053,0.65915
8,0.65874,0.65919,0.65946,0.65834
9,0.66015,0.65874,0.66033,0.65856
10,0.65899,0.66015,0.66028,0.65881
11,0.65905,0.65899,0.65985,0.65873
12,0.65985,0.65905,0.65991,0.65875
13,0.66018,0.65985,0.66018,0.65943
14,0.65951,0.66018,0.66037,0.65946
15,0.65966,0.65951,0.65984,0.65929
16,0.6589,0.65966,0.65974,0.65858
17,0.6529,0.6589,0.66263,0.65203
18,0.65601,0.6529,0.65652,0.65206
19,0.65413,0.65601,0.65642,0.65365
20,0.65491,0.65413,0.65495,0.65307
21,0.65471,0.65491,0.65541,0.65435
22,0.65406,0.65471,0.65472,0.65383
23,0.65395,0.65406,0.6542,0.65352
24,0.65373,0.65395,0.65402,0.65306
25,0.65335,0.65373,0.65382,0.65289
26,0.6557,0.65335,0.65622,0.65317
27,0.65562,0.6557,0.65697,0.65489
28,0.65521,0.65562,0.65648,0.65518
29,0.65615,0.65521,0.65642,0.65461
30,0.6562,0.65615,0.65623,0.65536
31,0.65657,0.6562,0.6567,0.65585
32,0.65745,0.65657,0.65748,0.65621
33,0.65882,0.65745,0.65922,0.65722
34,0.66048,0.65882,0.66077,0.65663
35,0.66127,0.66048,0.66206,0.65985
36,0.66199,0.66127,0.66241,0.661
37,0.66224,0.66199,0.66228,0.66112
38,0.66139,0.66224,0.66265,0.66134
39,0.66122,0.66139,0.66183,0.661
40,0.66045,0.66122,0.66133,0.66029
41,0.66042,0.66045,0.66076,0.66007
42,0.66034,0.66042,0.6608,0.66009
43,0.65894,0.66034,0.66052,0.65875
44,0.66029,0.65894,0.6607,0.65875
45,0.66073,0.66029,0.66103,0.66013
46,0.66208,0.66073,0.66211,0.66055
47,0.66064,0.66208,0.66208,0.66064
48,0.66047,0.66064,0.66112,0.66021
49,0.66006,0.66047,0.66053,0.65991
50,0.66016,0.66006,0.66043,0.65982
51,0.66007,0.66016,0.66075,0.65958
52,0.66152,0.66007,0.66179,0.65988
53,0.66129,0.66152,0.6618,0.66096
54,0.66078,0.66129,0.6613,0.66035
55,0.66066,0.66078,0.6611,0.66006
56,0.66148,0.66066,0.662,0.66022
57,0.66116,0.66148,0.66187,0.66042
58,0.66452,0.66116,0.66492,0.66096
59,0.66488,0.66452,0.66551,0.66379
60,0.66503,0.66488,0.66582,0.66471
61,0.66539,0.66503,0.66583,0.66502
62,0.66525,0.66539,0.66586,0.66497
63,0.66453,0.66525,0.66534,0.66447
64,0.66523,0.66453,0.66523,0.66441
65,0.66506,0.66539,0.66639,0.66375
66,0.66476,0.66506,0.6652,0.66427
67,0.6633,0.66476,0.66486,0.66313
68,0.66411,0.6633,0.6645,0.66329
69,0.66467,0.66411,0.66499,0.66371
70,0.6646,0.66467,0.66473,0.66408
71,0.66439,0.6646,0.66506,0.66426
72,0.66428,0.66439,0.66459,0.66417
73,0.66405,0.66428,0.66448,0.66388
74,0.66428,0.66405,0.66478,0.66396
75,0.66501,0.66428,0.66513,0.66399
76,0.66391,0.66501,0.66525,0.6638
77,0.66368,0.66391,0.66428,0.66336
78,0.66322,0.66368,0.66386,0.66316
79,0.66363,0.66322,0.6639,0.66295
80,0.66338,0.66363,0.6638,0.66301
81,0.66265,0.66338,0.66338,0.66221
82,0.66365,0.66265,0.66376,0.66149
83,0.66331,0.66365,0.66377,0.66257
84,0.66287,0.66331,0.66332,0.6621
85,0.66203,0.66287,0.66305,0.66182
86,0.66152,0.66203,0.66208,0.66143
87,0.66159,0.66152,0.66186,0.66133
88,0.66184,0.66159,0.66184,0.66135
89,0.66187,0.66184,0.66293,0.66165
90,0.66142,0.66187,0.66187,0.66082
91,0.66102,0.66142,0.66157,0.66075
92,0.66154,0.66102,0.66167,0.66073
93,0.66249,0.66154,0.66276,0.66138
94,0.6624,0.66249,0.66272,0.66173
95,0.66164,0.6624,0.66251,0.66154
96,0.66139,0.66164,0.66167,0.66121
97,0.66163,0.66139,0.66168,0.66105
98,0.66052,0.66163,0.6621,0.66047
99,0.66097,0.66052,0.66124,0.66045
100,0.66055,0.66097,0.6614,0.66019
101,0.66059,0.66055,0.66098,0.66023
102,0.6602,0.66059,0.66099,0.65975
103,0.66016,0.6602,0.66048,0.65978
104,0.65989,0.66016,0.6606,0.65963
105,0.65937,0.65989,0.66026,0.6593
106,0.65927,0.65937,0.65971,0.65865
107,0.65953,0.65927,0.65975,0.65887
108,0.66016,0.65953,0.66026,0.65937
109,0.65999,0.66016,0.66016,0.65963
110,0.65975,0.65999,0.66006,0.65952
111,0.65987,0.65975,0.66029,0.65963
112,0.65975,0.65987,0.66023,0.65956
113,0.66006,0.65975,0.6605,0.65975
114,0.66137,0.66006,0.66143,0.66001
115,0.66125,0.66137,0.66215,0.66065
116,0.66219,0.66125,0.66245,0.66093
117,0.66249,0.66219,0.6631,0.66188
118,0.66298,0.66249,0.66313,0.66249
119,0.6629,0.66298,0.6632,0.66239
120,0.66303,0.6629,0.66333,0.66253
121,0.66282,0.66303,0.66335,0.66271
