None,closeask,openask,highask,lowask
0,73.337,73.561,73.561,73.313
1,73.394,73.337,73.399,73.307
2,73.42,73.394,73.432,73.292
3,73.109,73.42,73.42,72.984
4,73.106,73.109,73.152,72.936
5,73.103,73.106,73.169,73.022
6,73.142,73.103,73.182,73.095
7,72.99,73.142,73.184,72.989
8,72.778,72.99,73.003,72.622
9,73.015,72.778,73.029,72.772
10,72.864,73.015,73.042,72.854
11,72.828,72.864,72.955,72.822
12,72.931,72.828,72.947,72.81
13,72.877,72.931,72.936,72.83
14,72.737,72.877,72.877,72.721
15,72.686,72.737,72.739,72.634
16,72.479,72.686,72.704,72.434
17,70.565,72.479,72.498,69.863
18,71.24,70.565,71.481,70.37
19,71.257,71.24,71.536,71.156
20,71.314,71.257,71.424,71.136
21,71.049,71.314,71.354,70.997
22,71.015,71.049,71.093,70.95
23,71.04,71.015,71.124,70.985
24,70.904,71.04,71.054,70.707
25,70.869,70.904,70.906,70.757
26,71.465,70.869,71.543,70.855
27,71.578,71.465,71.78,71.337
28,71.509,71.578,71.735,71.507
29,71.463,71.509,71.523,71.326
30,71.318,71.463,71.493,71.284
31,71.442,71.318,71.509,71.294
32,71.667,71.442,71.713,71.405
33,71.778,71.667,71.832,71.652
34,71.792,71.778,71.999,71.386
35,72.281,71.792,72.431,71.715
36,72.331,72.281,72.366,72.157
37,72.208,72.331,72.331,72.104
38,72.083,72.208,72.282,72.082
39,71.972,72.083,72.118,71.887
40,72.072,71.972,72.074,71.952
41,72.045,72.072,72.123,72.005
42,72.133,72.045,72.23,72.016
43,71.845,72.133,72.182,71.845
44,72.194,71.845,72.283,71.845
45,72.396,72.194,72.459,72.149
46,72.66,72.396,72.693,72.384
47,72.467,72.66,72.66,72.467
48,72.422,72.467,72.53,72.373
49,72.369,72.422,72.44,72.261
50,72.163,72.369,72.428,72.136
51,72.317,72.163,72.323,72.144
52,72.403,72.317,72.457,72.255
53,72.291,72.403,72.421,72.244
54,72.285,72.291,72.324,72.245
55,72.295,72.285,72.321,72.261
56,72.42,72.295,72.507,72.278
57,72.445,72.42,72.518,72.386
58,72.88,72.445,72.944,72.305
59,73.022,72.88,73.109,72.826
60,73.143,73.022,73.282,73.013
61,73.156,73.143,73.273,73.127
62,73.182,73.156,73.255,73.13
63,73.066,73.182,73.191,73.046
64,73.15,73.066,73.178,73.048
65,73.027,73.246,73.254,73.009
66,73.196,73.027,73.215,73.016
67,73.031,73.196,73.2,73.025
68,73.104,73.031,73.167,73.026
69,73.075,73.104,73.149,72.994
70,73.011,73.075,73.08,72.938
71,73.074,73.011,73.089,72.93
72,73.009,73.074,73.114,72.991
73,72.992,73.009,73.076,72.956
74,73.03,72.992,73.069,72.925
75,73.114,73.03,73.145,72.974
76,73.113,73.114,73.207,73.096
77,73.172,73.113,73.2,73.085
78,73.19,73.172,73.229,73.148
79,73.19,73.19,73.26,73.135
80,73.319,73.19,73.322,73.157
81,73.268,73.319,73.319,73.138
82,73.322,73.268,73.34,73.21
83,73.442,73.322,73.458,73.284
84,73.413,73.442,73.445,73.34
85,73.32,73.413,73.471,73.276
86,73.342,73.32,73.36,73.291
87,73.417,73.342,73.461,73.338
88,73.448,73.417,73.449,73.378
89,73.396,73.448,73.491,73.377
90,73.366,73.396,73.4,73.311
91,73.354,73.366,73.438,73.305
92,73.22,73.354,73.385,73.185
93,73.432,73.22,73.468,73.188
94,73.439,73.432,73.467,73.279
95,73.45,73.439,73.471,73.405
96,73.324,73.45,73.457,73.317
97,73.44,73.324,73.449,73.298
98,73.387,73.44,73.537,73.384
99,73.405,73.387,73.428,73.335
100,73.349,73.405,73.458,73.329
101,73.221,73.349,73.354,73.203
102,73.278,73.221,73.313,73.171
103,73.195,73.278,73.311,73.15
104,73.107,73.195,73.195,73.072
105,73.124,73.107,73.23,73.071
106,72.965,73.124,73.153,72.906
107,72.992,72.965,73.041,72.892
108,73.09,72.992,73.094,72.974
109,73.06,73.09,73.103,73.045
110,73.054,73.06,73.086,73.035
111,73.128,73.054,73.171,73.022
112,73.12,73.128,73.192,73.078
113,73.153,73.12,73.205,73.09
114,73.336,73.153,73.344,73.149
115,73.305,73.336,73.452,73.233
116,73.439,73.305,73.491,73.278
117,73.509,73.439,73.651,73.418
118,73.541,73.509,73.581,73.466
119,73.524,73.541,73.592,73.473
120,73.551,73.524,73.6,73.479
121,73.508,73.551,73.572,73.492
122,73.592,73.508,73.656,73.481
123,73.616,73.592,73.656,73.493
124,73.565,73.616,73.653,73.547
125,73.647,73.565,73.7,73.557
126,73.797,73.647,73.812,73.636
127,73.789,73.797,73.817,73.737
128,73.774,73.789,73.815,73.725
129,73.711,73.774,73.776,73.687
130,73.448,73.711,73.815,73.32
131,73.637,73.448,73.667,73.44
132,73.629,73.637,73.666,73.553
133,73.639,73.629,73.643,73.546
134,73.609,73.639,73.697,73.429
135,73.414,73.609,73.661,73.347
136,73.417,73.414,73.434,73.36
137,73.429,73.417,73.461,73.39
138,73.461,73.429,73.492,73.412
139,73.348,73.461,73.502,73.324
140,73.181,73.348,73.358,73.086
141,73.165,73.181,73.194,73.071
142,73.241,73.165,73.259,73.137
143,73.257,73.241,73.268,73.155
144,73.251,73.257,73.263,73.162
145,73.199,73.251,73.267,73.142
146,73.18,73.199,73.241,73.142
147,73.254,73.18,73.266,73.163
148,73.358,73.254,73.379,73.252
149,73.37,73.358,73.477,73.343
150,73.303,73.37,73.386,73.242
151,73.384,73.303,73.42,73.291
152,73.372,73.384,73.44,73.356
153,73.326,73.372,73.389,73.211
154,73.5,73.326,73.501,73.304
155,73.524,73.5,73.581,73.47
156,73.578,73.524,73.579,73.43
157,73.461,73.578,73.595,73.369
158,73.518,73.461,73.565,73.46
159,73.554,73.518,73.563,73.51
160,73.527,73.554,73.596,73.513
161,73.537,73.527,73.58,73.487
162,73.48,73.537,73.563,73.471
163,73.578,73.48,73.615,73.475
164,73.649,73.578,73.683,73.538
165,73.612,73.649,73.655,73.553
166,73.735,73.612,73.738,73.58
167,73.915,73.735,73.919,73.688
168,73.855,73.915,73.944,73.832
169,73.932,73.855,73.978,73.825
170,73.951,73.932,74.059,73.91
171,73.992,73.951,73.994,73.887
172,74.026,73.992,74.088,73.975
173,74.041,74.026,74.094,73.985
174,74.036,74.041,74.071,73.995
175,74.037,74.036,74.123,74.015
176,73.931,74.037,74.06,73.84
177,73.9,73.931,73.988,73.833
178,73.925,73.9,73.957,73.809
179,73.963,73.925,73.994,73.871
180,74.087,73.963,74.104,73.957
181,74.093,74.087,74.126,74.058
182,74.135,74.093,74.138,74.086
183,74.142,74.135,74.143,74.097
184,74.232,74.142,74.232,74.135
185,74.044,74.156,74.2,74.033
186,73.954,74.044,74.091,73.954
187,74.027,73.954,74.042,73.953
188,73.851,74.027,74.071,73.845
189,73.767,73.851,73.918,73.751
190,73.641,73.767,73.767,73.566
191,73.575,73.641,73.648,73.544
192,73.588,73.575,73.598,73.545
193,73.545,73.588,73.615,73.48
194,73.548,73.545,73.599,73.485
195,73.614,73.548,73.667,73.523
196,73.616,73.614,73.652,73.586
197,73.711,73.616,73.762,73.561
198,73.695,73.711,73.732,73.611
199,73.702,73.695,73.754,73.63
