None,closeask,openask,highask,lowask
0,0.98172,0.98397,0.98397,0.98172
1,0.98106,0.98172,0.98179,0.97968
2,0.98144,0.98106,0.98175,0.98058
3,0.9814,0.98144,0.98323,0.98103
4,0.98378,0.9814,0.98391,0.98107
5,0.98437,0.98378,0.98444,0.98322
6,0.98453,0.98437,0.98516,0.98426
7,0.98577,0.98453,0.98662,0.98448
8,0.98841,0.98577,0.98852,0.98558
9,0.98864,0.98841,0.98945,0.9879
10,0.98842,0.98864,0.98951,0.98803
11,0.98845,0.98842,0.9893,0.98812
12,0.99028,0.98845,0.9905,0.98825
13,0.99175,0.99028,0.99177,0.99005
14,0.99039,0.99175,0.99208,0.99038
15,0.99025,0.99039,0.99091,0.99013
16,0.99021,0.99025,0.99065,0.9897
17,0.98898,0.99021,0.99159,0.98808
18,0.98929,0.98898,0.98965,0.98626
19,0.98816,0.98929,0.98942,0.98747
20,0.98752,0.98816,0.98836,0.98645
21,0.9872,0.98752,0.98778,0.98709
22,0.98693,0.9872,0.98733,0.98681
23,0.98639,0.98693,0.98713,0.98639
24,0.9863,0.98639,0.98656,0.98593
25,0.98509,0.9863,0.98654,0.9847
26,0.98684,0.98509,0.98747,0.98466
27,0.98599,0.98684,0.98825,0.9856
28,0.98646,0.98599,0.98694,0.98583
29,0.98831,0.98646,0.98833,0.98628
30,0.98962,0.98831,0.98969,0.98786
31,0.98948,0.98962,0.98978,0.98858
32,0.98846,0.98948,0.99008,0.98795
33,0.98899,0.98846,0.98957,0.98811
34,0.9894,0.98899,0.99007,0.98526
35,0.98895,0.9894,0.99003,0.98809
36,0.98873,0.98895,0.98943,0.98807
37,0.9891,0.98873,0.98913,0.98786
38,0.98852,0.9891,0.98947,0.98845
39,0.98784,0.98852,0.98884,0.98766
40,0.98681,0.98784,0.98801,0.98631
41,0.9871,0.98681,0.98731,0.98674
42,0.98737,0.9871,0.98747,0.98681
43,0.98617,0.98737,0.98745,0.98617
44,0.98629,0.98617,0.98663,0.98545
45,0.98671,0.98629,0.98682,0.98622
46,0.98709,0.98671,0.98751,0.98668
47,0.98765,0.98709,0.98803,0.98707
48,0.98725,0.98765,0.98778,0.98717
49,0.98678,0.98725,0.9874,0.98675
50,0.98666,0.98678,0.98706,0.98628
51,0.98608,0.98666,0.9869,0.98566
52,0.98706,0.98608,0.98709,0.98533
53,0.98767,0.98706,0.98821,0.98706
54,0.98718,0.98767,0.98775,0.98643
55,0.98705,0.98718,0.98757,0.98627
56,0.98921,0.98705,0.99094,0.98692
57,0.99001,0.98921,0.99067,0.98914
58,0.98579,0.99001,0.99084,0.98573
59,0.98602,0.98579,0.98698,0.9853
60,0.98605,0.98602,0.98679,0.98565
61,0.98629,0.98605,0.9866,0.98557
62,0.98643,0.98629,0.98679,0.9859
63,0.98642,0.98643,0.98699,0.98624
64,0.98707,0.98642,0.98707,0.98639
65,0.98801,0.98826,0.98826,0.98585
66,0.98587,0.98801,0.98813,0.98574
67,0.98521,0.98587,0.98592,0.98511
68,0.98445,0.98521,0.98548,0.98435
69,0.98447,0.98445,0.98467,0.98423
70,0.98434,0.98447,0.98461,0.984
71,0.98465,0.98434,0.98474,0.98395
72,0.98439,0.98465,0.98466,0.98415
73,0.98442,0.98439,0.98472,0.98388
74,0.9841,0.98442,0.98521,0.98388
75,0.98411,0.9841,0.98437,0.98299
76,0.98247,0.98411,0.98421,0.98219
77,0.98279,0.98247,0.98301,0.98199
78,0.98191,0.98279,0.9828,0.98169
79,0.98165,0.98191,0.98214,0.98121
80,0.9804,0.98165,0.98175,0.98021
81,0.97981,0.9804,0.98052,0.97913
82,0.98149,0.97981,0.98209,0.97881
83,0.98108,0.98149,0.98188,0.98026
84,0.98067,0.98108,0.98108,0.97982
85,0.98031,0.98067,0.98078,0.97983
86,0.97953,0.98031,0.98042,0.97951
87,0.97966,0.97953,0.98021,0.97946
88,0.97974,0.97966,0.97989,0.97948
89,0.97992,0.97974,0.98115,0.97944
90,0.97933,0.97992,0.97992,0.97887
91,0.9799,0.97933,0.97997,0.9791
92,0.98086,0.9799,0.98095,0.97961
93,0.98077,0.98086,0.98134,0.98067
94,0.98207,0.98077,0.98226,0.98073
95,0.98177,0.98207,0.9827,0.98156
96,0.98128,0.98177,0.98177,0.98111
97,0.98095,0.98128,0.98142,0.98017
98,0.98096,0.98095,0.98163,0.9806
99,0.98069,0.98096,0.98162,0.9804
100,0.98049,0.98069,0.98083,0.97985
101,0.98087,0.98049,0.9814,0.98022
102,0.97956,0.98087,0.9813,0.97934
103,0.981,0.97956,0.98108,0.97897
104,0.98274,0.981,0.98348,0.9808
105,0.98162,0.98274,0.98292,0.98114
106,0.9814,0.98162,0.98281,0.981
107,0.98114,0.9814,0.98155,0.98034
108,0.98077,0.98114,0.98132,0.98045
109,0.98145,0.98077,0.98147,0.9805
110,0.98124,0.98145,0.98159,0.98097
111,0.98148,0.98124,0.98204,0.98124
112,0.98144,0.98148,0.98173,0.98136
113,0.98174,0.98144,0.98229,0.98113
114,0.98077,0.98174,0.98174,0.98075
115,0.98065,0.98077,0.98095,0.98051
116,0.98097,0.98065,0.98097,0.98019
117,0.98154,0.98097,0.98163,0.98074
118,0.98172,0.98154,0.98174,0.98139
119,0.98156,0.98172,0.9818,0.98149
120,0.9813,0.98156,0.98157,0.98109
121,0.98133,0.9813,0.98155,0.98105
122,0.98097,0.98133,0.98156,0.97983
123,0.98028,0.98097,0.98114,0.98014
124,0.97981,0.98028,0.98059,0.9791
125,0.98037,0.97981,0.98093,0.97958
126,0.98067,0.98037,0.98146,0.98018
127,0.98125,0.98067,0.98137,0.98036
128,0.97805,0.98125,0.98135,0.97791
129,0.97464,0.97805,0.97841,0.97456
130,0.97699,0.97464,0.97725,0.97326
131,0.97669,0.97699,0.97737,0.97623
132,0.97585,0.97669,0.97691,0.97554
133,0.9755,0.97585,0.97625,0.97469
134,0.97517,0.9755,0.97602,0.97412
135,0.97345,0.97517,0.9754,0.97342
136,0.97443,0.97345,0.97452,0.97343
137,0.97419,0.97443,0.97618,0.97412
138,0.97366,0.97419,0.97447,0.97356
139,0.97352,0.97366,0.9742,0.97285
140,0.97285,0.97352,0.97384,0.97283
141,0.97318,0.97285,0.97332,0.97275
142,0.97168,0.97318,0.97318,0.97167
143,0.97275,0.97168,0.97278,0.97168
144,0.97275,0.97275,0.9732,0.97259
145,0.97317,0.97275,0.97349,0.97271
146,0.97525,0.97317,0.97535,0.97287
147,0.97589,0.97525,0.9759,0.9735
148,0.97609,0.97589,0.97669,0.97573
149,0.97639,0.97609,0.97715,0.97598
150,0.97726,0.97639,0.97727,0.97572
151,0.97733,0.97726,0.97793,0.97666
152,0.97966,0.97733,0.97967,0.97694
153,0.97988,0.97966,0.98013,0.97895
154,0.98024,0.97988,0.98124,0.97955
155,0.98181,0.98024,0.98248,0.98004
156,0.98296,0.98181,0.98349,0.98144
157,0.98369,0.98296,0.98456,0.98233
158,0.98413,0.98369,0.9844,0.98351
159,0.98479,0.98413,0.98491,0.98411
160,0.98447,0.98479,0.98489,0.98442
161,0.98412,0.98447,0.98457,0.98408
162,0.98407,0.98412,0.98448,0.98389
163,0.98375,0.98407,0.98436,0.9836
164,0.98371,0.98375,0.98384,0.98348
165,0.98356,0.98371,0.98399,0.98332
166,0.98339,0.98356,0.98378,0.98332
167,0.98297,0.98339,0.98346,0.98283
168,0.98298,0.98297,0.98318,0.98246
169,0.98299,0.98298,0.98379,0.98285
170,0.98241,0.98299,0.98333,0.98221
171,0.98215,0.98241,0.98335,0.98203
172,0.98279,0.98215,0.98302,0.9814
173,0.98202,0.98279,0.98331,0.98163
174,0.98311,0.98202,0.98347,0.98201
175,0.98257,0.98311,0.98319,0.98226
176,0.98208,0.98257,0.98271,0.98144
177,0.98459,0.98208,0.98566,0.98172
178,0.9828,0.98459,0.9851,0.98247
179,0.98296,0.9828,0.9834,0.98266
180,0.98293,0.98296,0.98307,0.98229
181,0.98404,0.98293,0.98427,0.98287
182,0.98446,0.98404,0.98455,0.98381
183,0.98384,0.98446,0.98455,0.98365
184,0.98427,0.98384,0.98444,0.98368
185,0.98373,0.9855,0.98566,0.98373
186,0.98403,0.98373,0.98441,0.98363
187,0.984,0.98403,0.98418,0.98381
188,0.98296,0.984,0.98401,0.9829
189,0.9834,0.98296,0.98344,0.98283
190,0.9835,0.9834,0.98356,0.98313
191,0.98326,0.9835,0.98357,0.98326
192,0.98328,0.98326,0.98338,0.98297
193,0.98351,0.98328,0.98382,0.98305
194,0.983,0.98351,0.98456,0.98291
195,0.98233,0.983,0.98346,0.98224
196,0.98267,0.98233,0.98294,0.98205
197,0.98296,0.98267,0.98313,0.98246
198,0.98163,0.98296,0.98319,0.98126
199,0.98191,0.98163,0.98274,0.98151
200,0.98237,0.98191,0.98291,0.98156
201,0.98146,0.98237,0.98247,0.98131
202,0.98114,0.98146,0.98175,0.9803
203,0.98068,0.98114,0.98151,0.9803
204,0.98028,0.98068,0.98093,0.98007
205,0.98154,0.98028,0.98169,0.9801
206,0.98146,0.98154,0.98167,0.98113
207,0.98123,0.98146,0.98148,0.98113
208,0.98107,0.98123,0.9813,0.98097
209,0.98108,0.98107,0.98184,0.9808
210,0.98116,0.98108,0.98147,0.98093
211,0.98121,0.98116,0.98164,0.98092
212,0.98039,0.98121,0.98158,0.98026
213,0.98063,0.98039,0.98083,0.98023
214,0.98071,0.98063,0.98104,0.98051
215,0.98109,0.98071,0.98117,0.98069
216,0.98104,0.98109,0.98132,0.98095
217,0.9814,0.98104,0.98162,0.98096
218,0.98161,0.9814,0.98178,0.98057
219,0.98314,0.98161,0.98343,0.9814
220,0.98503,0.98314,0.98535,0.98294
221,0.98634,0.98503,0.98663,0.98477
222,0.98621,0.98634,0.98699,0.98606
223,0.98609,0.98621,0.98697,0.9858
224,0.98486,0.98609,0.98662,0.98436
225,0.98564,0.98486,0.98616,0.9847
226,0.98602,0.98564,0.98613,0.98484
227,0.98852,0.98602,0.98911,0.9859
228,0.98857,0.98852,0.98944,0.98828
229,0.98898,0.98857,0.9894,0.98854
230,0.98811,0.98898,0.98905,0.98795
231,0.98739,0.98811,0.98837,0.98736
232,0.98795,0.98739,0.98802,0.98725
233,0.98817,0.98795,0.9882,0.98782
234,0.98735,0.98817,0.98818,0.98732
235,0.98757,0.98735,0.98791,0.98735
236,0.98807,0.98757,0.9882,0.9874
237,0.98808,0.98807,0.98818,0.98783
238,0.98799,0.98808,0.98818,0.98783
239,0.98792,0.98799,0.98816,0.98765
240,0.98838,0.98792,0.98848,0.98779
241,0.98916,0.98838,0.98923,0.98818
242,0.98907,0.98916,0.98932,0.98833
243,0.98755,0.98907,0.98913,0.98743
244,0.98834,0.98755,0.98846,0.98742
245,0.98845,0.98834,0.98853,0.98794
246,0.9903,0.98845,0.99031,0.98829
247,0.98989,0.9903,0.99035,0.98918
248,0.98954,0.98989,0.98995,0.98895
249,0.99043,0.98954,0.99065,0.98897
250,0.99045,0.99043,0.99105,0.98973
251,0.98997,0.99045,0.99051,0.98948
252,0.98983,0.98997,0.99034,0.98919
253,0.98938,0.98983,0.98994,0.98905
254,0.99078,0.98938,0.99081,0.98938
255,0.99049,0.99078,0.99081,0.98989
256,0.99044,0.99049,0.99071,0.99016
257,0.99048,0.99044,0.99075,0.99014
258,0.99022,0.99048,0.99048,0.98963
259,0.98999,0.99022,0.99041,0.98996
260,0.99067,0.98999,0.9907,0.98989
261,0.99115,0.99067,0.99122,0.99058
262,0.99137,0.99115,0.99175,0.99114
263,0.99184,0.99137,0.99197,0.99134
264,0.9916,0.99184,0.99196,0.9915
265,0.99126,0.9916,0.99163,0.99099
266,0.99125,0.99126,0.99225,0.99097
267,0.99183,0.99125,0.99223,0.99121
268,0.99233,0.99183,0.99261,0.99173
269,0.99225,0.99233,0.99249,0.99197
270,0.99238,0.99225,0.99255,0.99197
271,0.99229,0.99238,0.99242,0.99193
272,0.99257,0.99229,0.99341,0.99207
273,0.99401,0.99257,0.99415,0.99241
274,0.99446,0.99401,0.99546,0.9937
275,0.99443,0.99446,0.99478,0.99346
276,0.99413,0.99443,0.99468,0.99405
277,0.99401,0.99413,0.99425,0.9932
278,0.99363,0.99401,0.99411,0.99326
279,0.99364,0.99363,0.99433,0.99352
280,0.99436,0.99364,0.99437,0.99355
281,0.99439,0.99436,0.99457,0.99372
282,0.99401,0.99439,0.99463,0.99385
283,0.99373,0.99401,0.99433,0.99363
284,0.99393,0.99373,0.99401,0.99349
285,0.99381,0.99393,0.99414,0.99374
286,0.99371,0.99381,0.99391,0.99365
287,0.99372,0.99371,0.99392,0.99355
288,0.99412,0.99372,0.99424,0.99372
289,0.99387,0.99412,0.99427,0.99377
290,0.99418,0.99387,0.99421,0.99357
291,0.99417,0.99418,0.9946,0.99369
292,0.99408,0.99417,0.9947,0.99406
293,0.99386,0.99408,0.99427,0.99325
294,0.99369,0.99386,0.99412,0.99325
295,0.9938,0.99369,0.994,0.99346
296,0.99423,0.9938,0.99441,0.99349
297,0.9948,0.99423,0.99486,0.99378
298,0.9955,0.9948,0.99582,0.99389
299,0.99554,0.9955,0.99595,0.99516
300,0.99574,0.99554,0.99579,0.99529
301,0.99534,0.99574,0.99574,0.99508
302,0.99531,0.99493,0.99596,0.99487
303,0.99554,0.99531,0.99562,0.995
304,0.9952,0.99554,0.99558,0.99473
305,0.99522,0.9952,0.9955,0.99481
306,0.99512,0.99522,0.99559,0.99491
307,0.995,0.99512,0.99516,0.99489
308,0.99518,0.995,0.99537,0.99495
309,0.99531,0.99518,0.99553,0.99517
310,0.99522,0.99531,0.99552,0.99514
311,0.99521,0.99522,0.99557,0.99478
312,0.99568,0.99521,0.9958,0.99493
313,0.99764,0.99568,0.99776,0.99556
314,0.99703,0.99764,0.99765,0.99647
315,0.99781,0.99703,0.99786,0.99703
316,0.99796,0.99781,0.99881,0.99775
317,0.99822,0.99796,0.99876,0.99793
318,0.99742,0.99822,0.99836,0.99718
319,0.99771,0.99742,0.99814,0.99708
320,0.9972,0.99771,0.998,0.99714
321,0.99755,0.9972,0.99758,0.99699
322,0.99772,0.99755,0.99787,0.99748
323,0.99772,0.99772,0.99793,0.99755
324,0.99745,0.99772,0.9978,0.99731
325,0.99758,0.99745,0.99776,0.99734
326,0.99747,0.99758,0.9981,0.99743
327,0.99749,0.99747,0.99776,0.99729
328,0.99748,0.99749,0.99769,0.99728
329,0.99767,0.99748,0.99768,0.99727
330,0.99747,0.99767,0.99774,0.99729
331,0.99805,0.99747,0.9981,0.99744
332,0.99823,0.99805,0.99826,0.99789
333,0.99784,0.99823,0.99826,0.99755
334,0.99788,0.99784,0.99817,0.99766
335,0.99753,0.99788,0.99797,0.99734
336,0.99713,0.99753,0.99758,0.997
337,0.99707,0.99713,0.99746,0.99691
338,0.99662,0.99707,0.99726,0.9966
339,0.99645,0.99662,0.99669,0.99614
340,0.99748,0.99645,0.9975,0.99642
341,0.99815,0.99748,0.99861,0.9974
342,0.99812,0.99815,0.99855,0.99781
343,0.99768,0.99812,0.9983,0.99686
344,0.99725,0.99768,0.99768,0.99702
345,0.99686,0.99725,0.99735,0.99663
346,0.99674,0.99686,0.99708,0.99641
347,0.99707,0.99674,0.99725,0.99658
348,0.9977,0.99707,0.99772,0.997
349,0.99736,0.9977,0.99775,0.99728
350,0.99739,0.99736,0.99802,0.99703
351,0.99717,0.99739,0.99744,0.99697
352,0.99721,0.99717,0.99762,0.9971
353,0.99756,0.99721,0.99774,0.99713
354,0.99741,0.99756,0.99776,0.99729
355,0.99746,0.99741,0.99762,0.99729
356,0.99746,0.99746,0.99756,0.99706
357,0.99719,0.99746,0.99757,0.99714
358,0.9976,0.99719,0.9977,0.99718
359,0.99783,0.9976,0.99798,0.99754
360,0.99787,0.99783,0.9981,0.9976
361,0.99823,0.99787,0.99848,0.99774
362,0.99856,0.99823,0.99905,0.99805
363,0.99749,0.99856,0.99872,0.99735
364,0.99724,0.99749,0.99759,0.99712
365,0.9981,0.99724,0.99863,0.99703
366,0.9971,0.9981,0.99818,0.99682
367,0.99575,0.9971,0.99733,0.99566
368,0.99459,0.99575,0.99606,0.99452
369,0.99457,0.99459,0.99484,0.99439
370,0.99438,0.99457,0.99487,0.99415
371,0.99524,0.99534,0.99555,0.99501
372,0.99573,0.99524,0.99581,0.99523
373,0.99575,0.99573,0.99576,0.99542
374,0.99469,0.99438,0.99483,0.99401
375,0.99487,0.99469,0.99502,0.99468
376,0.99544,0.99487,0.99544,0.99461
377,0.99501,0.99544,0.99589,0.99467
378,0.99461,0.99501,0.99502,0.99441
379,0.99428,0.99461,0.99477,0.99423
380,0.99435,0.99428,0.99466,0.99423
