None,closeask,openask,highask,lowask
0,7.83554,7.83091,7.83574,7.83091
1,7.83462,7.83554,7.83577,7.83342
2,7.83556,7.83462,7.83591,7.83426
3,7.83744,7.83556,7.8379,7.83553
4,7.83566,7.83744,7.83782,7.83528
5,7.83405,7.83566,7.83572,7.83366
6,7.83361,7.83405,7.83411,7.83281
7,7.83497,7.83361,7.83517,7.83345
8,7.83584,7.83497,7.83621,7.83477
9,7.8334,7.83584,7.83584,7.83331
10,7.83357,7.8334,7.83462,7.83304
11,7.83566,7.83357,7.83637,7.83329
12,7.83582,7.83566,7.83592,7.83404
13,7.83479,7.83582,7.83582,7.83438
14,7.8345,7.83479,7.83512,7.8345
15,7.83365,7.8345,7.83462,7.83285
16,7.83353,7.83365,7.83381,7.83284
17,7.83433,7.83353,7.83437,7.83325
18,7.83584,7.83433,7.83651,7.83375
19,7.83466,7.83584,7.83611,7.83341
20,7.83417,7.83466,7.8348,7.8331
21,7.83417,7.83417,7.83465,7.83397
22,7.83471,7.83417,7.83475,7.83399
23,7.83422,7.83471,7.83476,7.83414
24,7.83484,7.83422,7.83492,7.83414
25,7.83389,7.83484,7.83492,7.83307
26,7.83332,7.83389,7.83399,7.83263
27,7.83316,7.83332,7.83389,7.83295
28,7.83266,7.83316,7.8335,7.83255
29,7.83303,7.83266,7.8333,7.83254
30,7.83212,7.83303,7.83303,7.83207
31,7.83262,7.83212,7.83293,7.83198
32,7.83285,7.83262,7.83321,7.83209
33,7.83302,7.83285,7.8332,7.83188
34,7.83174,7.83302,7.83334,7.83154
35,7.83112,7.83174,7.832,7.83087
36,7.83084,7.83112,7.83117,7.83064
37,7.83069,7.83084,7.83276,7.83059
38,7.83069,7.83069,7.83095,7.83061
39,7.83072,7.83069,7.83101,7.83058
40,7.83223,7.83072,7.83275,7.8301
41,7.83285,7.83223,7.83285,7.83065
42,7.83162,7.83285,7.83285,7.83089
43,7.82934,7.83162,7.83244,7.829
44,7.82984,7.82934,7.82986,7.82747
45,7.8313,7.82984,7.8315,7.82919
46,7.83068,7.8313,7.83195,7.83068
47,7.83029,7.83068,7.83094,7.83
48,7.83009,7.83029,7.83054,7.83002
49,7.83152,7.83009,7.83191,7.8298
50,7.83092,7.83152,7.83179,7.83074
51,7.83326,7.83092,7.83326,7.83082
52,7.83442,7.83326,7.83486,7.83295
53,7.83465,7.83442,7.83476,7.83375
54,7.83381,7.83465,7.8347,7.83346
55,7.83361,7.83381,7.834,7.8336
56,7.83394,7.83361,7.83443,7.83337
57,7.83386,7.83394,7.83421,7.83369
58,7.83291,7.83386,7.83479,7.83288
59,7.83402,7.83291,7.83457,7.83259
60,7.83476,7.83402,7.83479,7.83401
61,7.83495,7.83476,7.83495,7.83433
62,7.8349,7.83495,7.83495,7.83474
63,7.83557,7.8349,7.83557,7.83475
64,7.83584,7.83557,7.83616,7.83528
65,7.83489,7.83492,7.83547,7.83489
66,7.8331,7.83489,7.83537,7.833
67,7.83371,7.8331,7.83467,7.83286
68,7.83512,7.83371,7.83515,7.83368
69,7.83544,7.83512,7.83589,7.83445
70,7.83572,7.83544,7.83577,7.83505
71,7.83622,7.83572,7.83657,7.83558
72,7.83633,7.83622,7.83672,7.83621
73,7.83573,7.83633,7.83639,7.83564
74,7.8365,7.83573,7.8365,7.83559
75,7.83743,7.8365,7.83764,7.83646
76,7.83677,7.83743,7.83743,7.83649
77,7.83607,7.83677,7.83727,7.83596
78,7.83567,7.83607,7.8361,7.83554
79,7.83538,7.83567,7.83582,7.83528
80,7.83513,7.83538,7.83558,7.835
81,7.83555,7.83513,7.83626,7.83508
82,7.83418,7.83555,7.83603,7.83416
83,7.83509,7.83418,7.83541,7.83404
84,7.83574,7.83509,7.836,7.83489
85,7.83569,7.83574,7.836,7.83544
86,7.83505,7.83569,7.83581,7.83492
87,7.83457,7.83505,7.83505,7.83441
88,7.83517,7.83457,7.83522,7.83389
89,7.83479,7.83517,7.83565,7.83397
90,7.83622,7.83479,7.83651,7.83479
91,7.83677,7.83622,7.83701,7.8356
92,7.83689,7.83677,7.83741,7.83677
93,7.83666,7.83689,7.83793,7.83661
94,7.83841,7.83666,7.83844,7.83661
95,7.83846,7.83841,7.83847,7.83828
96,7.83844,7.83846,7.8385,7.83832
97,7.83811,7.83844,7.83853,7.83734
98,7.83847,7.83811,7.83851,7.83798
99,7.83924,7.83847,7.83944,7.83835
100,7.8392,7.83924,7.83944,7.83906
101,7.8384,7.8392,7.83933,7.83818
102,7.83897,7.8384,7.83898,7.83831
103,7.83837,7.83897,7.83902,7.83813
104,7.83801,7.83837,7.83849,7.83784
105,7.83832,7.83801,7.83849,7.83797
106,7.83822,7.83832,7.83856,7.83792
107,7.83835,7.83822,7.83863,7.83787
108,7.83872,7.83835,7.8388,7.83758
109,7.83871,7.83872,7.83873,7.83846
110,7.83885,7.83871,7.8389,7.83871
111,7.83861,7.83885,7.83885,7.83808
112,7.83904,7.83861,7.8391,7.83861
113,7.83909,7.83904,7.83912,7.83884
114,7.83941,7.83909,7.83958,7.83895
115,7.83884,7.83941,7.83943,7.8387
116,7.83988,7.83884,7.84001,7.83884
117,7.83982,7.83988,7.84031,7.8388
118,7.83977,7.83982,7.84034,7.83969
119,7.84043,7.83977,7.84054,7.83943
120,7.84044,7.84043,7.84102,7.83915
121,7.83922,7.84044,7.84044,7.83907
122,7.83978,7.83922,7.83994,7.83915
123,7.83992,7.83978,7.83993,7.83915
124,7.83931,7.83992,7.84021,7.8388
125,7.83962,7.83931,7.83978,7.83921
126,7.83923,7.83962,7.83976,7.83907
127,7.83893,7.83923,7.83946,7.83889
128,7.83929,7.83893,7.83934,7.83842
129,7.83834,7.83929,7.83929,7.8382
130,7.83716,7.83834,7.83868,7.83704
131,7.83739,7.83716,7.83901,7.8369
132,7.83715,7.83739,7.83829,7.83678
133,7.83756,7.83715,7.83775,7.83704
134,7.83763,7.83756,7.83772,7.83754
135,7.83794,7.83763,7.83805,7.83745
136,7.838,7.83794,7.83878,7.8376
