None,closeask,openask,highask,lowask
0,109.306,109.69,109.69,109.301
1,109.258,109.306,109.307,109.129
2,109.311,109.258,109.346,109.183
3,108.954,109.311,109.325,108.904
4,108.945,108.954,108.981,108.709
5,109.048,108.945,109.105,108.881
6,109.109,109.048,109.179,109.045
7,109.144,109.109,109.288,109.103
8,109.191,109.144,109.198,108.823
9,109.338,109.191,109.362,109.177
10,109.284,109.338,109.395,109.268
11,109.221,109.284,109.358,109.215
12,109.445,109.221,109.466,109.221
13,109.45,109.445,109.457,109.381
14,109.198,109.45,109.451,109.184
15,109.084,109.198,109.206,109.04
16,108.899,109.084,109.126,108.871
17,106.807,108.899,108.919,104.876
18,107.432,106.807,107.879,106.64
19,107.648,107.432,107.86,107.431
20,107.54,107.648,107.81,107.437
21,107.139,107.54,107.554,107.078
22,107.161,107.139,107.208,107.027
23,107.157,107.161,107.291,107.154
24,106.971,107.157,107.164,106.749
25,106.853,106.971,106.98,106.8
26,107.556,106.853,107.677,106.851
27,107.649,107.556,107.962,107.431
28,107.661,107.649,107.849,107.649
29,107.642,107.661,107.684,107.511
30,107.553,107.642,107.682,107.516
31,107.664,107.553,107.716,107.526
32,107.75,107.664,108.005,107.597
33,107.756,107.75,107.97,107.705
34,107.544,107.756,107.952,107.108
35,108.099,107.544,108.308,107.497
36,108.027,108.099,108.114,107.827
37,107.843,108.027,108.032,107.747
38,107.738,107.843,107.894,107.724
39,107.524,107.738,107.779,107.398
40,107.678,107.524,107.694,107.469
41,107.681,107.678,107.747,107.64
42,107.854,107.681,107.976,107.646
43,107.523,107.854,107.939,107.518
44,107.842,107.523,107.955,107.517
45,108.116,107.842,108.198,107.808
46,108.331,108.116,108.448,108.112
47,108.337,108.331,108.436,108.313
48,108.257,108.337,108.379,108.213
49,108.189,108.257,108.285,108.067
50,107.851,108.189,108.234,107.823
51,108.039,107.851,108.047,107.827
52,108.031,108.039,108.043,107.868
53,107.968,108.031,108.066,107.93
54,107.992,107.968,108.02,107.945
55,108.006,107.992,108.061,107.963
56,108.303,108.006,108.456,107.999
57,108.475,108.303,108.59,108.278
58,108.114,108.475,108.486,108.107
59,108.291,108.114,108.352,108.066
60,108.451,108.291,108.576,108.282
61,108.435,108.451,108.59,108.355
62,108.516,108.435,108.561,108.421
63,108.463,108.516,108.525,108.43
64,108.531,108.463,108.571,108.436
65,108.486,108.534,108.612,108.447
66,108.554,108.486,108.626,108.356
67,108.477,108.554,108.607,108.462
68,108.371,108.477,108.542,108.323
69,108.239,108.371,108.394,108.237
70,108.138,108.239,108.272,108.069
71,108.304,108.138,108.305,108.022
72,108.194,108.304,108.317,108.151
73,108.212,108.194,108.261,108.162
74,108.189,108.212,108.276,108.093
75,108.198,108.189,108.266,108.069
76,108.2,108.198,108.231,108.121
77,108.353,108.2,108.365,108.148
78,108.358,108.353,108.406,108.322
79,108.262,108.358,108.358,108.23
80,108.359,108.262,108.409,108.214
81,108.318,108.359,108.376,108.218
82,108.439,108.318,108.546,108.217
83,108.624,108.439,108.639,108.426
84,108.607,108.624,108.651,108.561
85,108.571,108.607,108.679,108.519
86,108.598,108.571,108.635,108.542
87,108.708,108.598,108.75,108.593
88,108.733,108.708,108.747,108.664
89,108.664,108.733,108.752,108.653
90,108.63,108.664,108.679,108.597
91,108.738,108.63,108.774,108.615
92,108.564,108.738,108.751,108.515
93,108.714,108.564,108.753,108.529
94,108.881,108.714,108.92,108.62
95,108.99,108.881,108.999,108.878
96,108.787,108.99,108.999,108.784
97,108.886,108.787,108.892,108.739
98,108.981,108.886,109.09,108.827
99,108.914,108.981,109.02,108.882
100,108.875,108.914,108.951,108.807
101,108.72,108.875,108.905,108.677
102,108.728,108.72,108.792,108.687
103,108.767,108.728,108.769,108.603
104,108.875,108.767,108.883,108.706
105,108.864,108.875,108.964,108.817
