None,closeask,openask,highask,lowask
0,19.618501,19.67545,19.67545,19.6132
1,19.6212,19.618501,19.627151,19.606799
2,19.641299,19.6212,19.645169,19.614671
3,19.6529,19.641299,19.690299,19.634401
4,19.655,19.6529,19.676499,19.635301
5,19.6872,19.655,19.6879,19.6478
6,19.7119,19.6872,19.7219,19.6848
7,19.673801,19.7119,19.717099,19.6736
8,19.6578,19.673801,19.689201,19.639199
9,19.624999,19.6578,19.67518,19.6174
10,19.584701,19.624999,19.6277,19.567701
11,19.61222,19.584701,19.61925,19.557099
12,19.5783,19.61222,19.616189,19.5503
13,19.58323,19.5783,19.607101,19.565801
14,19.545421,19.58323,19.586801,19.535899
15,19.54325,19.545421,19.561879,19.5335
16,19.572499,19.54325,19.572801,19.5333
17,19.644401,19.572499,19.676101,19.558869
18,19.631,19.644401,19.678901,19.623901
19,19.6452,19.631,19.6464,19.612701
20,19.616201,19.6452,19.654901,19.615899
21,19.626241,19.616201,19.632501,19.611301
22,19.61531,19.626241,19.627191,19.612701
23,19.61505,19.61531,19.616941,19.61334
24,19.61518,19.61505,19.639199,19.612201
25,19.6351,19.61518,19.6466,19.612069
26,19.638299,19.6351,19.662299,19.620099
27,19.6326,19.638299,19.652101,19.61062
28,19.6452,19.6326,19.646899,19.6125
29,19.645499,19.6452,19.673801,19.6375
30,19.62728,19.645499,19.662101,19.621301
31,19.5894,19.62728,19.643899,19.5547
32,19.6188,19.5894,19.629501,19.577001
33,19.652101,19.6188,19.661401,19.5939
34,19.636399,19.652101,19.652499,19.581201
35,19.6119,19.636399,19.654201,19.6046
36,19.593801,19.6119,19.62375,19.5878
37,19.5895,19.593801,19.61243,19.581599
38,19.59003,19.5895,19.5972,19.577701
39,19.61716,19.59003,19.61828,19.585099
40,19.6321,19.61716,19.6442,19.617
41,19.63173,19.6321,19.63873,19.620561
42,19.621089,19.63173,19.63173,19.620299
43,19.6356,19.621089,19.6429,19.6174
44,19.621499,19.6356,19.636899,19.615871
45,19.630799,19.621499,19.6471,19.61967
46,19.624999,19.630799,19.635499,19.6244
47,19.627299,19.624999,19.633001,19.623799
48,19.62695,19.627299,19.627799,19.620299
49,19.631601,19.62695,19.6361,19.625501
50,19.60354,19.631601,19.631801,19.6034
51,19.577781,19.60354,19.60497,19.576699
52,19.5978,19.577781,19.599799,19.560901
53,19.582601,19.5978,19.608701,19.5785
54,19.554999,19.582601,19.586249,19.5524
55,19.570701,19.554999,19.5827,19.553701
56,19.629399,19.570701,19.660001,19.5559
57,19.624601,19.629399,19.67357,19.6174
58,19.459399,19.624601,19.63227,19.4586
59,19.443,19.459399,19.518199,19.442901
60,19.4477,19.443,19.458301,19.4162
61,19.43003,19.4477,19.4605,19.3947
62,19.4059,19.43003,19.43376,19.3735
63,19.4189,19.4059,19.43367,19.4033
64,19.4371,19.4189,19.4371,19.4152
65,19.399539,19.425,19.42809,19.399539
66,19.398099,19.399539,19.41822,19.395141
67,19.41669,19.398099,19.418901,19.397889
68,19.41262,19.41669,19.417501,19.4092
69,19.411531,19.41262,19.416301,19.403239
70,19.4003,19.411531,19.4153,19.39492
71,19.401931,19.4003,19.401931,19.398099
72,19.40863,19.401931,19.40966,19.39585
73,19.4153,19.40863,19.42105,19.4071
74,19.38852,19.4153,19.428701,19.388
75,19.431399,19.38852,19.4332,19.38486
76,19.454101,19.431399,19.4554,19.405299
77,19.46499,19.454101,19.4778,19.45276
78,19.38716,19.46499,19.46936,19.38528
79,19.309899,19.38716,19.39409,19.307799
80,19.330859,19.309899,19.3448,19.306199
81,19.328059,19.330859,19.36136,19.321201
82,19.3087,19.328059,19.339061,19.303201
83,19.318099,19.3087,19.335401,19.294601
84,19.3381,19.318099,19.3451,19.3175
85,19.3684,19.3381,19.380201,19.317701
86,19.353999,19.3684,19.39298,19.352901
87,19.365399,19.353999,19.369201,19.34868
88,19.362399,19.365399,19.366901,19.349099
89,19.35424,19.362399,19.372501,19.351501
90,19.369701,19.35424,19.37297,19.352599
91,19.366201,19.369701,19.3702,19.358899
92,19.378499,19.366201,19.38075,19.365501
93,19.367299,19.378499,19.3796,19.3646
94,19.391,19.367299,19.391299,19.3605
95,19.4005,19.391,19.403501,19.3903
96,19.4017,19.4005,19.4097,19.389501
97,19.3992,19.4017,19.405601,19.394799
98,19.4246,19.3992,19.43629,19.3971
99,19.344701,19.4246,19.4278,19.3441
100,19.35661,19.344701,19.358279,19.313399
101,19.403951,19.35661,19.4351,19.35661
102,19.3639,19.403951,19.4132,19.351001
103,19.377561,19.3639,19.404769,19.35661
104,19.368501,19.377561,19.382899,19.3196
105,19.30607,19.368501,19.37276,19.282701
106,19.35,19.30607,19.38959,19.30458
107,19.35827,19.35,19.3943,19.338
108,19.328929,19.35827,19.365399,19.30343
109,19.3509,19.328929,19.356601,19.300901
110,19.3562,19.3509,19.377799,19.3488
111,19.37775,19.3562,19.381601,19.3488
112,19.362399,19.37775,19.38412,19.3569
113,19.3569,19.362399,19.3842,19.351739
114,19.343101,19.3569,19.36128,19.34196
115,19.3705,19.343101,19.37065,19.331
116,19.346801,19.3705,19.37075,19.3392
117,19.347301,19.346801,19.362201,19.3413
118,19.33129,19.347301,19.3514,19.321599
119,19.322299,19.33129,19.3366,19.3201
120,19.318509,19.322299,19.3226,19.313991
121,19.32278,19.318509,19.329801,19.317969
122,19.340301,19.32278,19.341331,19.302301
123,19.323899,19.340301,19.355399,19.32112
124,19.3429,19.323899,19.3593,19.322709
125,19.3539,19.3429,19.357301,19.326699
126,19.336,19.3539,19.38017,19.3348
127,19.32039,19.336,19.37477,19.312141
128,19.2543,19.32039,19.32182,19.2312
129,19.229381,19.2543,19.27888,19.21008
130,19.23734,19.229381,19.27513,19.20276
131,19.23199,19.23734,19.244399,19.214931
132,19.219159,19.23199,19.267499,19.216581
133,19.233171,19.219159,19.2452,19.212699
134,19.216861,19.233171,19.24966,19.211249
135,19.23047,19.216861,19.2452,19.2095
136,19.225301,19.23047,19.2354,19.210481
137,19.22935,19.225301,19.245999,19.22033
138,19.22355,19.22935,19.22935,19.216581
139,19.2354,19.22355,19.2383,19.2231
140,19.2548,19.2354,19.258599,19.230901
141,19.255,19.2548,19.26703,19.251901
142,19.241401,19.255,19.255599,19.237109
143,19.232101,19.241401,19.244701,19.225101
144,19.2224,19.232101,19.2389,19.215499
145,19.229501,19.2224,19.230001,19.217599
146,19.25575,19.229501,19.25908,19.229501
147,19.259799,19.25575,19.2644,19.222301
148,19.2611,19.259799,19.27029,19.243501
149,19.229909,19.2611,19.265201,19.227241
150,19.2396,19.229909,19.2448,19.2193
151,19.23853,19.2396,19.245151,19.222619
152,19.206,19.23853,19.24023,19.160701
153,19.208921,19.206,19.22659,19.1785
154,19.16328,19.208921,19.227929,19.15882
155,19.161889,19.16328,19.18003,19.124299
156,19.169299,19.161889,19.22195,19.1512
157,19.16619,19.169299,19.19983,19.155299
158,19.144599,19.16619,19.173,19.134299
159,19.145249,19.144599,19.1645,19.13951
160,19.130099,19.145249,19.1517,19.125529
161,19.13853,19.130099,19.14931,19.1272
162,19.1354,19.13853,19.13853,19.1268
163,19.132699,19.1354,19.1379,19.122199
164,19.133781,19.132699,19.1403,19.126901
165,19.126701,19.133781,19.1377,19.1249
166,19.120601,19.126701,19.130901,19.119901
167,19.089601,19.120601,19.122199,19.088321
168,19.1037,19.089601,19.108501,19.0885
169,19.107301,19.1037,19.109,19.1014
170,19.0866,19.107301,19.116731,19.08426
171,19.0813,19.0866,19.1067,19.079299
172,19.0845,19.0813,19.092799,19.071139
173,19.067399,19.0845,19.08512,19.05989
174,19.1086,19.067399,19.1133,19.060701
175,19.1393,19.1086,19.1471,19.084001
176,19.130099,19.1393,19.172401,19.110299
177,19.166801,19.130099,19.188041,19.1135
178,19.1058,19.166801,19.173921,19.088
179,19.120799,19.1058,19.1389,19.095599
180,19.12983,19.120799,19.135671,19.108199
181,19.14186,19.12983,19.1499,19.125899
182,19.14218,19.14186,19.14501,19.1343
183,19.14178,19.14218,19.1575,19.13696
184,19.14584,19.14178,19.14609,19.12459
185,19.142499,19.15017,19.152829,19.141759
186,19.1459,19.142499,19.1473,19.121499
187,19.1456,19.1459,19.146501,19.143199
188,19.152801,19.1456,19.1529,19.1382
189,19.169271,19.152801,19.171201,19.150701
190,19.1692,19.169271,19.175929,19.168
191,19.169101,19.1692,19.170501,19.164331
192,19.170301,19.169101,19.170909,19.1666
193,19.18127,19.170301,19.19058,19.1652
194,19.1893,19.18127,19.20029,19.1662
195,19.159221,19.1893,19.18934,19.148749
196,19.160331,19.159221,19.17077,19.14816
197,19.180499,19.160331,19.191699,19.148999
198,19.16784,19.180499,19.206399,19.151401
199,19.1695,19.16784,19.202001,19.161901
200,19.117601,19.1695,19.176709,19.0983
201,19.0538,19.117601,19.1254,19.044971
202,19.033401,19.0538,19.0542,19.020801
203,19.019,19.033401,19.049701,19.011701
204,18.995931,19.019,19.02464,18.9642
205,18.9831,18.995931,18.9971,18.9619
206,18.992299,18.9831,19.0001,18.9698
207,19.01683,18.992299,19.025399,18.98904
208,18.9866,19.01683,19.0188,18.9827
209,18.9957,18.9866,18.9983,18.980531
210,18.990609,18.9957,19.007899,18.982301
211,19.006681,18.990609,19.00685,18.988099
212,18.9901,19.006681,19.00719,18.982
213,18.99874,18.9901,19.002,18.98286
214,18.9714,18.99874,18.999681,18.9656
215,18.969501,18.9714,18.9766,18.953599
216,18.9579,18.969501,18.979501,18.9577
217,18.975301,18.9579,18.9763,18.957799
218,18.99167,18.975301,18.99398,18.963
219,18.96536,18.99167,18.99324,18.953401
220,19.0015,18.96536,19.007301,18.9595
221,18.99389,19.0015,19.0088,18.981
222,19.005031,18.99389,19.012679,18.9686
223,19.0172,19.005031,19.04548,19.0041
224,18.98232,19.0172,19.033099,18.9799
225,19.029,18.98232,19.033099,18.97433
226,19.0424,19.029,19.0701,19.0053
227,19.0575,19.0424,19.089641,19.034301
228,19.029861,19.0575,19.057559,19.022399
229,19.018701,19.029861,19.045289,19.0076
230,18.98315,19.018701,19.034499,18.98315
231,19.00501,18.98315,19.00957,18.977401
232,19.002999,19.00501,19.01945,18.99706
233,19.015201,19.002999,19.02221,19.0013
234,18.9742,19.015201,19.01609,18.97144
235,18.973701,18.9742,18.982419,18.965499
236,18.984,18.973701,18.993301,18.971509
237,18.9817,18.984,18.990001,18.9785
238,18.993699,18.9817,19.002,18.981601
239,18.995601,18.993699,19.001599,18.987701
240,18.9826,18.995601,19.00015,18.9808
241,18.99035,18.9826,18.99608,18.9812
242,18.98235,18.99035,18.9922,18.952199
243,18.975301,18.98235,19.004581,18.956599
244,19.02357,18.975301,19.0262,18.967599
245,19.0277,19.02357,19.033719,19.01414
246,19.025399,19.0277,19.03589,19.0025
247,19.0307,19.025399,19.0535,19.0204
248,19.0171,19.0307,19.032491,18.9924
249,18.985999,19.0171,19.02213,18.968
250,19.008599,18.985999,19.019,18.980001
251,18.971801,19.008599,19.024961,18.967
252,18.967839,18.971801,18.99529,18.9565
253,18.961499,18.967839,18.97623,18.9505
254,18.91661,18.961499,18.961999,18.90887
255,18.90249,18.91661,18.92266,18.8886
256,18.8933,18.90249,18.912299,18.8877
257,18.888801,18.8933,18.898799,18.882671
258,18.886199,18.888801,18.8957,18.88392
259,18.897201,18.886199,18.911,18.886199
