None,closeask,openask,highask,lowask
0,8.64405,8.66612,8.66612,8.64304
1,8.64336,8.64405,8.6509,8.64091
2,8.65704,8.64336,8.66037,8.63328
3,8.65445,8.65704,8.68582,8.65101
4,8.66313,8.65445,8.66956,8.65042
5,8.6719,8.66313,8.67346,8.66159
6,8.66531,8.6719,8.67374,8.6568
7,8.68745,8.66531,8.6931,8.66524
8,8.72504,8.68745,8.73158,8.68745
9,8.71791,8.72504,8.72946,8.7151
10,8.69667,8.71791,8.72031,8.6844
11,8.7006,8.69667,8.7104,8.6805
12,8.705,8.7006,8.70901,8.69265
13,8.71997,8.705,8.72056,8.70431
14,8.70984,8.71997,8.72138,8.70909
15,8.70719,8.70984,8.71253,8.70655
16,8.7249,8.70719,8.7254,8.70463
17,8.77692,8.7249,8.79411,8.71893
18,8.78773,8.77692,8.78773,8.73233
19,8.75904,8.78773,8.78933,8.74735
20,8.75131,8.75904,8.76291,8.74402
21,8.73557,8.75131,8.75131,8.73092
22,8.73823,8.73557,8.74182,8.72962
23,8.73156,8.73823,8.74027,8.73156
24,8.74191,8.73156,8.7468,8.72982
25,8.74196,8.74191,8.74789,8.73595
26,8.73897,8.74196,8.74367,8.72913
27,8.72158,8.73897,8.7542,8.72056
28,8.72965,8.72158,8.7342,8.7177
29,8.74459,8.72965,8.7455,8.72965
30,8.75669,8.74459,8.764,8.74228
31,8.7435,8.75669,8.75945,8.73942
32,8.7212,8.7435,8.746,8.71737
33,8.72618,8.7212,8.72932,8.70973
34,8.72368,8.72618,8.74334,8.71116
35,8.69604,8.72368,8.73054,8.69512
36,8.68437,8.69604,8.69704,8.68101
37,8.68743,8.68437,8.69364,8.68279
38,8.68831,8.68743,8.69428,8.68406
39,8.68984,8.68831,8.69588,8.6838
40,8.6921,8.68984,8.69275,8.68527
41,8.69489,8.6921,8.70021,8.6896
42,8.69308,8.69489,8.698,8.68816
43,8.68717,8.69308,8.69615,8.68595
44,8.69064,8.68717,8.6913,8.68379
45,8.69026,8.69064,8.6914,8.6862
46,8.68061,8.69026,8.69732,8.67879
47,8.68711,8.68061,8.68998,8.68027
48,8.68609,8.68711,8.68845,8.67801
49,8.67368,8.68609,8.68966,8.66791
50,8.6559,8.67368,8.67401,8.65333
51,8.66278,8.6559,8.66898,8.65134
52,8.65829,8.66278,8.66359,8.64062
53,8.65131,8.65829,8.6613,8.64784
54,8.64039,8.65131,8.656,8.6394
55,8.6445,8.64039,8.64783,8.63925
56,8.65291,8.6445,8.6773,8.64352
57,8.6625,8.65291,8.66748,8.65252
58,8.6076,8.6625,8.67622,8.6034
59,8.61017,8.6076,8.6328,8.60202
60,8.6209,8.61017,8.6268,8.6096
61,8.62128,8.6209,8.6268,8.61597
62,8.61776,8.62128,8.62883,8.61608
63,8.6177,8.61776,8.62525,8.61187
64,8.6218,8.6177,8.6218,8.6117
65,8.61316,8.6205,8.6244,8.61206
66,8.60821,8.61316,8.61545,8.60675
67,8.60396,8.60821,8.60873,8.60008
68,8.59825,8.60396,8.60802,8.59626
