None,closeask,openask,highask,lowask
0,8.86554,8.88049,8.88049,8.86422
1,8.86075,8.86554,8.87082,8.85311
2,8.89746,8.86075,8.89957,8.85833
3,8.91632,8.89746,8.93714,8.89019
4,8.9377,8.91632,8.94141,8.9137
5,8.9399,8.9377,8.94153,8.92957
6,8.9314,8.9399,8.94288,8.9258
7,8.95419,8.9314,8.95605,8.93038
8,8.99691,8.95419,9.00553,8.9513
9,8.9938,8.99691,9.00359,8.9917
10,8.98692,8.9938,9.0049,8.97974
11,8.99537,8.98692,9.00193,8.97848
12,8.9963,8.99537,9.0042,8.98942
13,9.0188,8.9963,9.02018,8.9956
14,9.01385,9.0188,9.02305,9.0086
15,9.01035,9.01385,9.01614,9.00916
16,9.0255,9.01035,9.0255,9.0093
17,9.04529,9.0255,9.07537,9.01766
18,9.0403,9.04529,9.0461,9.01934
19,9.03025,9.0403,9.05732,9.0227
20,9.0239,9.03025,9.0382,9.02241
21,9.01378,9.0239,9.02539,9.01093
22,9.0124,9.01378,9.01465,9.00831
23,9.00873,9.0124,9.0152,9.00821
24,9.01456,9.00873,9.01861,9.00675
25,9.00797,9.01456,9.01872,9.00337
26,9.01891,9.00797,9.0211,9.00197
27,9.00854,9.01891,9.03716,9.00518
28,9.03132,9.00854,9.03202,9.00263
29,9.04964,9.03132,9.05214,9.02729
30,9.07372,9.04964,9.07557,9.04852
31,9.06647,9.07372,9.0755,9.05459
32,9.04215,9.06647,9.0696,9.0419
33,9.0316,9.04215,9.04719,9.0287
34,9.0174,9.0316,9.0351,9.0108
35,9.00261,9.0174,9.02287,8.99667
36,8.99581,9.00261,9.00494,8.99288
37,8.99302,8.99581,9.0008,8.99084
38,9.0057,8.99302,9.0133,8.9928
39,9.00181,9.0057,9.0067,8.99895
40,9.004,9.00181,9.0041,8.99666
41,9.01484,9.004,9.01684,9.0018
42,9.0075,9.01484,9.01532,9.00087
43,8.99874,9.0075,9.00866,8.99861
44,8.99887,8.99874,9.00079,8.9933
45,9.001,8.99887,9.00207,8.99479
46,8.9999,9.001,9.0092,8.99943
47,9.00121,8.9999,9.00778,8.9977
48,9.0023,9.00121,9.00599,8.9956
49,8.99729,9.0023,9.01006,8.99674
50,8.98738,8.99729,8.99805,8.9751
51,8.99368,8.98738,8.9937,8.98313
52,8.9944,8.99368,8.99623,8.975
53,8.99129,8.9944,8.9986,8.98125
54,8.98028,8.99129,8.9934,8.978
55,8.98409,8.98028,8.98812,8.97768
56,8.99626,8.98409,9.0133,8.97804
57,9.01088,8.99626,9.0173,8.99447
58,8.93869,9.01088,9.01293,8.93519
59,8.94778,8.93869,8.95651,8.933
60,8.96408,8.94778,8.9662,8.9447
61,8.95973,8.96408,8.96819,8.95685
62,8.9542,8.95973,8.96539,8.95305
63,8.95933,8.9542,8.97073,8.95128
64,8.9734,8.95933,8.9735,8.956
65,8.9599,8.96656,8.97317,8.95764
66,8.95748,8.9599,8.97001,8.94978
67,8.94809,8.95748,8.9606,8.94684
68,8.93925,8.94809,8.95544,8.93827
69,8.94144,8.93925,8.9466,8.93867
70,8.94147,8.94144,8.94423,8.93759
71,8.94441,8.94147,8.94501,8.93681
72,8.94283,8.94441,8.9455,8.94058
73,8.9481,8.94283,8.9512,8.93944
74,8.93345,8.9481,8.95424,8.92965
75,8.9496,8.93345,8.95376,8.9298
76,8.9432,8.9496,8.95084,8.93346
77,8.943,8.9432,8.94831,8.94044
78,8.94166,8.943,8.94718,8.93964
79,8.93832,8.94166,8.94243,8.934
80,8.92108,8.93832,8.93832,8.92013
81,8.9192,8.92108,8.92841,8.91304
82,8.90416,8.9192,8.9257,8.90333
83,8.90368,8.90416,8.9125,8.90091
84,8.90143,8.90368,8.90535,8.90024
85,8.89787,8.90143,8.90217,8.89205
86,8.89645,8.89787,8.90096,8.8921
87,8.89501,8.89645,8.90175,8.8944
88,8.8974,8.89501,8.89913,8.89315
89,8.89703,8.8974,8.90067,8.89602
90,8.89429,8.89703,8.89712,8.89304
91,8.9036,8.89429,8.90714,8.89092
92,8.916,8.9036,8.91706,8.9005
93,8.91326,8.916,8.92114,8.91059
94,8.92143,8.91326,8.92419,8.91203
95,8.92103,8.92143,8.92633,8.91977
96,8.91776,8.92103,8.92137,8.91664
97,8.91759,8.91776,8.92,8.90833
98,8.91677,8.91759,8.93166,8.91124
99,8.89702,8.91677,8.91708,8.89421
100,8.89841,8.89702,8.90018,8.88582
101,8.8993,8.89841,8.91669,8.8969
102,8.88581,8.8993,8.89945,8.8768
103,8.89541,8.88581,8.9061,8.88101
104,8.90838,8.89541,8.91679,8.894
105,8.92147,8.90838,8.92274,8.9034
106,8.92844,8.92147,8.94013,8.91951
107,8.9303,8.92844,8.94041,8.92406
108,8.92322,8.9303,8.93225,8.9193
109,8.92836,8.92322,8.93223,8.92007
110,8.92336,8.92836,8.93019,8.92177
111,8.92165,8.92336,8.92849,8.91968
112,8.93199,8.92165,8.9329,8.91884
113,8.92659,8.93199,8.94008,8.926
114,8.9125,8.92659,8.92661,8.9123
115,8.91368,8.9125,8.9166,8.9093
116,8.9123,8.91368,8.91458,8.9055
117,8.91653,8.9123,8.91876,8.9098
118,8.91299,8.91653,8.91673,8.9097
119,8.90461,8.91299,8.9185,8.90382
120,8.9105,8.90461,8.91478,8.89468
121,8.91735,8.9105,8.91758,8.9087
122,8.9174,8.91735,8.92104,8.9065
123,8.91062,8.9174,8.9219,8.8918
124,8.92849,8.91062,8.9296,8.91022
125,8.94015,8.92849,8.9478,8.9171
126,8.92648,8.94015,8.94682,8.92644
127,8.93724,8.92648,8.94662,8.92624
128,8.91754,8.93724,8.93914,8.9158
129,8.88649,8.91754,8.91808,8.87966
130,8.8953,8.88649,8.89618,8.8727
131,8.8857,8.8953,8.89625,8.8771
132,8.87842,8.8857,8.89031,8.87447
133,8.87132,8.87842,8.88103,8.86711
134,8.87199,8.87132,8.87989,8.85583
135,8.8617,8.87199,8.87227,8.8616
136,8.8729,8.8617,8.8741,8.85941
137,8.8653,8.8729,8.87474,8.86162
138,8.86607,8.8653,8.87193,8.85812
139,8.86244,8.86607,8.87102,8.85881
140,8.86967,8.86244,8.87769,8.85921
141,8.86795,8.86967,8.8736,8.8668
142,8.85834,8.86795,8.86795,8.85656
143,8.86551,8.85834,8.8658,8.85834
144,8.86623,8.86551,8.87268,8.86336
145,8.87427,8.86623,8.87537,8.86508
146,8.88763,8.87427,8.8908,8.86854
147,8.89446,8.88763,8.89517,8.87688
148,8.893,8.89446,8.89984,8.88971
149,8.87857,8.893,8.89658,8.87651
150,8.87426,8.87857,8.88221,8.87032
151,8.86624,8.87426,8.8785,8.8633
152,8.8898,8.86624,8.8902,8.8612
153,8.8801,8.8898,8.89343,8.8792
154,8.8837,8.8801,8.88845,8.8743
155,8.88601,8.8837,8.89224,8.8799
156,8.89596,8.88601,8.90292,8.88455
157,8.90748,8.89596,8.91688,8.89553
158,8.9052,8.90748,8.90965,8.90011
159,8.90787,8.9052,8.9125,8.9052
160,8.9128,8.90787,8.91753,8.8999
161,8.90861,8.9128,8.92357,8.90316
162,8.89813,8.90861,8.91097,8.89762
163,8.8966,8.89813,8.90267,8.89215
164,8.89093,8.8966,8.89964,8.8868
165,8.8903,8.89093,8.89531,8.88488
166,8.88608,8.8903,8.89178,8.88267
167,8.88227,8.88608,8.8879,8.8818
168,8.88437,8.88227,8.8886,8.87976
169,8.88686,8.88437,8.88989,8.88005
170,8.88346,8.88686,8.88769,8.87722
171,8.8691,8.88346,8.88633,8.85902
172,8.88406,8.8691,8.8842,8.8672
173,8.876,8.88406,8.88445,8.86419
174,8.86996,8.876,8.88798,8.8683
175,8.87182,8.86996,8.87525,8.8622
176,8.89315,8.87182,8.89403,8.8715
177,8.9263,8.89315,8.94079,8.8888
178,8.9215,8.9263,8.94043,8.9214
179,8.93082,8.9215,8.9449,8.92061
180,8.91258,8.93082,8.93083,8.9077
181,8.92624,8.91258,8.929,8.91034
182,8.93431,8.92624,8.93589,8.9253
183,8.94044,8.93431,8.94044,8.93392
184,8.9437,8.94044,8.94745,8.9328
185,8.93936,8.9414,8.9429,8.93055
186,8.94176,8.93936,8.94599,8.93279
187,8.93721,8.94176,8.94176,8.9352
188,8.92937,8.93721,8.93721,8.9273
189,8.93907,8.92937,8.93965,8.92864
190,8.94057,8.93907,8.94184,8.93685
191,8.93609,8.94057,8.94121,8.93609
192,8.93153,8.93609,8.93745,8.92904
193,8.93879,8.93153,8.94356,8.93025
194,8.94562,8.93879,8.96187,8.93598
195,8.9367,8.94562,8.95293,8.9266
196,8.94521,8.9367,8.94531,8.9163
197,8.94064,8.94521,8.95332,8.93859
198,8.93611,8.94064,8.95264,8.93212
199,8.93783,8.93611,8.95063,8.935
200,8.9418,8.93783,8.94855,8.9328
201,8.9435,8.9418,8.95302,8.9398
202,8.9489,8.9435,8.9531,8.9366
203,8.94425,8.9489,8.95138,8.9374
204,8.94724,8.94425,8.94841,8.9387
205,8.9476,8.94724,8.95043,8.94658
206,8.95617,8.9476,8.95685,8.94679
207,8.9524,8.95617,8.9582,8.95076
208,8.9547,8.9524,8.9547,8.95009
209,8.95376,8.9547,8.955,8.95037
210,8.94935,8.95376,8.95497,8.94785
211,8.94611,8.94935,8.95018,8.94533
212,8.9422,8.94611,8.9514,8.93505
213,8.93574,8.9422,8.94263,8.9315
214,8.93485,8.93574,8.9429,8.93288
215,8.93736,8.93485,8.94024,8.93475
216,8.93224,8.93736,8.9408,8.93224
217,8.93821,8.93224,8.94386,8.93224
218,8.94605,8.93821,8.94868,8.9288
219,8.9379,8.94605,8.95213,8.93387
220,8.9569,8.9379,8.96558,8.935
221,8.94943,8.9569,8.9669,8.9474
222,8.96059,8.94943,8.96401,8.946
223,8.95379,8.96059,8.97532,8.9514
224,8.95219,8.95379,8.97025,8.94978
225,8.9314,8.95219,8.95531,8.9307
226,8.9438,8.9314,8.95838,8.92339
227,8.97829,8.9438,8.98954,8.942
228,8.99108,8.97829,8.99229,8.9733
229,8.99359,8.99108,8.99963,8.9905
230,8.97936,8.99359,8.99911,8.97875
231,8.96423,8.97936,8.98189,8.9637
232,8.9753,8.96423,8.9754,8.9612
