None,closeask,openask,highask,lowask
0,5.29488,5.29503,5.31033,5.29341
1,5.29664,5.29488,5.30835,5.29405
2,5.30614,5.29664,5.3178,5.29216
3,5.3344,5.30614,5.35491,5.30546
4,5.3524,5.3344,5.3602,5.33433
5,5.37976,5.3524,5.39632,5.34562
6,5.37838,5.37976,5.38565,5.37192
7,5.36132,5.37838,5.38204,5.36104
8,5.38616,5.36132,5.39507,5.36025
9,5.37975,5.38616,5.3954,5.37571
10,5.38934,5.37975,5.39835,5.36785
11,5.40934,5.38934,5.4153,5.38532
12,5.39767,5.40934,5.41084,5.38585
13,5.38498,5.39767,5.39933,5.37882
14,5.39514,5.38498,5.39549,5.38478
15,5.40077,5.39514,5.40152,5.39435
16,5.41087,5.40077,5.41087,5.39464
17,5.66542,5.41087,5.67991,5.40735
18,5.54775,5.66542,5.69799,5.48318
19,5.47955,5.54775,5.56045,5.45775
20,5.4559,5.47955,5.48672,5.4519
21,5.4556,5.4559,5.4801,5.42495
22,5.4253,5.4556,5.47356,5.41305
23,5.4118,5.4253,5.43501,5.4078
24,5.46555,5.4118,5.46845,5.4104
25,5.47797,5.46555,5.5033,5.4632
26,5.44075,5.47797,5.49585,5.42585
27,5.44636,5.44075,5.4527,5.427
28,5.48211,5.44636,5.4822,5.42765
29,5.48886,5.48211,5.5236,5.4694
30,5.48555,5.48886,5.51416,5.48205
31,5.48792,5.48555,5.49836,5.46645
32,5.48836,5.48792,5.4994,5.4748
33,5.5024,5.48836,5.59356,5.48757
34,5.4974,5.5024,5.51429,5.4774
35,5.47985,5.4974,5.5092,5.46549
36,5.4542,5.47985,5.48064,5.44765
37,5.45581,5.4542,5.45699,5.44634
38,5.46085,5.45581,5.4804,5.45294
39,5.46855,5.46085,5.4691,5.45273
40,5.46815,5.46855,5.473,5.4628
41,5.47885,5.46815,5.484,5.46795
42,5.47839,5.47885,5.47905,5.4713
43,5.47246,5.47839,5.48023,5.469
44,5.46886,5.47246,5.47246,5.4666
45,5.46798,5.46886,5.46959,5.46675
46,5.44905,5.46798,5.46884,5.44905
47,5.44635,5.44905,5.4509,5.44505
48,5.46565,5.44635,5.46565,5.43065
49,5.44568,5.46565,5.47414,5.44468
50,5.43128,5.44568,5.44642,5.42029
51,5.4224,5.43128,5.43615,5.41308
52,5.42065,5.4224,5.4254,5.40499
53,5.41755,5.42065,5.4389,5.41163
54,5.40137,5.41755,5.42615,5.4005
55,5.41425,5.40137,5.41763,5.39689
56,5.41936,5.41425,5.44205,5.40851
57,5.41897,5.41936,5.43067,5.41484
58,5.35409,5.41897,5.42159,5.34678
