None,closeask,openask,highask,lowask
0,14.40068,14.41801,14.41801,14.39291
1,14.32786,14.40068,14.40068,14.32197
2,14.34313,14.32786,14.37588,14.31173
3,14.40118,14.34313,14.45346,14.3357
4,14.4851,14.40118,14.49535,14.39559
5,14.51682,14.4851,14.51949,14.46019
6,14.53211,14.51682,14.54193,14.50582
7,14.49217,14.53211,14.53498,14.49
8,14.50319,14.49217,14.5354,14.4608
9,14.44726,14.50319,14.50433,14.4397
10,14.42196,14.44726,14.45675,14.3977
11,14.42444,14.42196,14.42767,14.37974
12,14.4078,14.42444,14.42636,14.38728
13,14.42354,14.4078,14.442,14.39408
14,14.41632,14.42354,14.42354,14.41171
15,14.42692,14.41632,14.4274,14.40841
16,14.47712,14.42692,14.47712,14.39835
17,14.9613,14.47712,15.00027,14.46753
18,14.62889,14.9613,14.9613,14.57733
19,14.54286,14.62889,14.63602,14.52846
20,14.55183,14.54286,14.57197,14.53295
21,14.54917,14.55183,14.57086,14.51202
22,14.52974,14.54917,14.55026,14.52176
23,14.53168,14.52974,14.53412,14.52083
24,14.54085,14.53168,14.57594,14.52552
25,14.5658,14.54085,14.58013,14.53685
26,14.5288,14.5658,14.56713,14.48824
27,14.48995,14.5288,14.54504,14.4803
28,14.52542,14.48995,14.52686,14.4617
29,14.5207,14.52542,14.56861,14.48855
30,14.54194,14.5207,14.55906,14.50993
31,14.48213,14.54194,14.54281,14.43968
32,14.44141,14.48213,14.49709,14.43617
33,14.47317,14.44141,14.4926,14.43118
34,14.36883,14.47317,14.48902,14.36511
35,14.32037,14.36883,14.39649,14.29361
36,14.28775,14.32037,14.33102,14.27933
37,14.28005,14.28775,14.29889,14.24842
38,14.29398,14.28005,14.3312,14.27965
39,14.29935,14.29398,14.31632,14.26871
40,14.3146,14.29935,14.3219,14.2803
41,14.3477,14.3146,14.36559,14.3105
42,14.32868,14.3477,14.39095,14.31604
43,14.3084,14.32868,14.3387,14.3067
44,14.30774,14.3084,14.33305,14.29578
45,14.3069,14.30774,14.31606,14.29218
46,14.29738,14.3069,14.31225,14.29585
47,14.2871,14.29738,14.30434,14.2702
48,14.29778,14.2871,14.29928,14.2833
49,14.30952,14.29778,14.3211,14.29452
50,14.18544,14.30952,14.30952,14.17917
51,14.11897,14.18544,14.18615,14.11249
52,14.13374,14.11897,14.13374,14.09474
53,14.10469,14.13374,14.1522,14.10223
54,14.10392,14.10469,14.12459,14.10113
55,14.1298,14.10392,14.13201,14.1014
56,14.15429,14.1298,14.1957,14.11491
57,14.16476,14.15429,14.20242,14.15249
58,13.9828,14.16476,14.19172,13.95973
59,13.96888,13.9828,14.04078,13.9625
60,13.96108,13.96888,14.00235,13.953
61,13.96148,13.96108,13.97371,13.923
62,13.95307,13.96148,13.9823,13.95126
63,13.9613,13.95307,13.983,13.94077
64,13.9762,13.9613,13.9785,13.9526
65,14.0108,14.0135,14.02,13.9998
66,14.0031,14.0108,14.01191,13.9935
67,13.988,14.0031,14.0031,13.96122
68,13.94898,13.988,13.9885,13.94245
69,13.95082,13.94898,13.95512,13.9416
70,13.9411,13.95082,13.9548,13.9174
71,13.9287,13.9411,13.9419,13.91904
72,13.9359,13.9287,13.94321,13.90898
73,13.9615,13.9359,13.9713,13.9309
74,13.91228,13.9615,13.97542,13.90727
75,13.98008,13.91228,13.99281,13.90152
76,13.9655,13.98008,13.98008,13.94425
77,13.94899,13.9655,13.97196,13.94332
78,13.909,13.94899,13.94906,13.9054
79,13.89715,13.909,13.91537,13.86354
80,13.86545,13.89715,13.89715,13.83259
81,13.87053,13.86545,13.89154,13.85543
82,13.86919,13.87053,13.8953,13.85194
83,13.8846,13.86919,13.8986,13.86376
84,13.856,13.8846,13.89543,13.83664
85,13.87873,13.856,13.89106,13.8335
86,13.89877,13.87873,13.89877,13.87873
87,13.89359,13.89877,13.89878,13.86504
88,13.892,13.89359,13.91017,13.8886
89,13.88628,13.892,13.8936,13.8771
90,13.88801,13.88628,13.88962,13.88269
91,13.88845,13.88801,13.8887,13.88613
92,13.90914,13.88845,13.90919,13.88419
93,13.91926,13.90914,13.92015,13.90891
94,13.94025,13.91926,13.94379,13.91926
95,13.94598,13.94025,13.94609,13.9385
96,13.94916,13.94598,13.94929,13.93881
97,13.9445,13.94916,13.9703,13.93494
98,13.97558,13.9445,13.99903,13.92409
99,13.93782,13.97558,13.9881,13.93634
100,13.99213,13.93782,13.99678,13.93445
101,14.02549,13.99213,14.05173,13.99213
102,13.9805,14.02549,14.0303,13.9636
103,14.01632,13.9805,14.0452,13.97718
104,13.9594,14.01632,14.03012,13.94857
105,13.9221,13.9594,13.9679,13.9134
106,13.97924,13.9221,14.00314,13.90975
107,13.94549,13.97924,13.98576,13.94234
108,13.91993,13.94549,13.95672,13.91956
109,13.94384,13.91993,13.94808,13.91641
110,13.94762,13.94384,13.94892,13.9327
111,13.9703,13.94762,13.9729,13.93588
112,13.9718,13.9703,13.9827,13.95839
113,13.98371,13.9718,14.00798,13.9681
114,13.9474,13.98371,13.98748,13.94738
115,13.9675,13.9474,13.9675,13.9317
116,13.94152,13.9675,13.9692,13.9276
117,13.9411,13.94152,13.9531,13.92865
118,13.93435,13.9411,13.9453,13.9272
119,13.9449,13.93435,13.95408,13.93377
120,13.92475,13.9449,13.9449,13.92324
121,13.9145,13.92475,13.9516,13.90748
122,13.92956,13.9145,13.9388,13.86107
123,13.94861,13.92956,13.9672,13.91775
124,13.9404,13.94861,13.9678,13.91874
125,13.96975,13.9404,13.98207,13.92845
126,13.97903,13.96975,14.02371,13.9654
127,13.97911,13.97903,14.00999,13.97005
128,13.93311,13.97911,13.98791,13.91318
129,13.88762,13.93311,13.9544,13.8739
130,13.93287,13.88762,13.94068,13.86417
131,13.89035,13.93287,13.93307,13.8744
132,13.87717,13.89035,13.91506,13.87237
133,13.88106,13.87717,13.88557,13.86888
134,13.85136,13.88106,13.90527,13.84381
135,13.86691,13.85136,13.87334,13.82293
136,13.87045,13.86691,13.87045,13.85113
137,13.86656,13.87045,13.89612,13.85838
138,13.86875,13.86656,13.88095,13.8577
139,13.8714,13.86875,13.8714,13.85652
140,13.9003,13.8714,13.9261,13.8647
141,13.8991,13.9003,13.9193,13.89652
142,13.84643,13.8991,13.901,13.83971
143,13.8333,13.84643,13.8632,13.82784
144,13.83497,13.8333,13.8387,13.82488
145,13.84815,13.83497,13.86763,13.8286
146,13.8827,13.84815,13.89804,13.84791
147,13.91457,13.8827,13.91715,13.83437
148,13.92984,13.91457,13.9608,13.89903
149,13.88081,13.92984,13.93323,13.8773
150,13.89977,13.88081,13.9022,13.86318
151,13.87241,13.89977,13.90095,13.86851
152,13.8905,13.87241,13.89322,13.83917
153,13.91357,13.8905,13.92115,13.87964
154,13.83071,13.91357,13.91651,13.82848
155,13.85546,13.83071,13.86565,13.82832
156,13.86217,13.85546,13.88088,13.847
157,13.87222,13.86217,13.92082,13.85847
158,13.86067,13.87222,13.8726,13.8542
159,13.85135,13.86067,13.8815,13.84349
160,13.86414,13.85135,13.86519,13.85083
161,13.87805,13.86414,13.8916,13.85924
162,13.87404,13.87805,13.882,13.86631
163,13.86221,13.87404,13.87404,13.84979
164,13.86966,13.86221,13.87344,13.85828
